# 強化学習モデル学習統計

学習日時: 2026年02月08日 22:02:37
学習エピソード数: 5000
最終平均報酬: 2915.39
Q-tableサイズ: 1341 状態

## エピソードごとの報酬推移
エピソード 1: 2003.60
エピソード 10: 1886.80
エピソード 20: 3840.20
エピソード 30: 2371.90
エピソード 40: 1402.70
エピソード 50: 3008.50
エピソード 60: 2047.60
エピソード 70: 2084.50
エピソード 80: 2373.70
エピソード 90: 1539.90
エピソード 100: 3313.40
エピソード 110: 5430.20
エピソード 120: 4484.50
エピソード 130: 2011.80
エピソード 140: 2727.30
エピソード 150: 4816.30
エピソード 160: 1479.40
エピソード 170: 1751.80
エピソード 180: 2516.90
エピソード 190: 3452.30
エピソード 200: 2323.90
エピソード 210: 2666.30
エピソード 220: 3533.60
エピソード 230: 3384.10
エピソード 240: 3456.70
エピソード 250: 3159.00
エピソード 260: 1470.90
エピソード 270: 3146.80
エピソード 280: 3143.50
エピソード 290: 3293.50
エピソード 300: 2289.90
エピソード 310: 2420.50
エピソード 320: 3018.20
エピソード 330: 2635.10
エピソード 340: 1689.20
エピソード 350: 3962.80
エピソード 360: 2005.00
エピソード 370: 1700.70
エピソード 380: 4056.80
エピソード 390: 2573.10
エピソード 400: 1463.40
エピソード 410: 3013.70
エピソード 420: 2431.20
エピソード 430: 4859.80
エピソード 440: 2898.90
エピソード 450: 1548.60
エピソード 460: 3679.70
エピソード 470: 3131.30
エピソード 480: 1759.30
エピソード 490: 3021.10
エピソード 500: 2132.00
エピソード 510: 2517.90
エピソード 520: 3137.40
エピソード 530: 2227.30
エピソード 540: 3267.70
エピソード 550: 3515.90
エピソード 560: 3153.70
エピソード 570: 2560.60
エピソード 580: 3491.80
エピソード 590: 2675.90
エピソード 600: 1656.90
エピソード 610: 3077.90
エピソード 620: 3145.50
エピソード 630: 3152.90
エピソード 640: 3433.60
エピソード 650: 4453.10
エピソード 660: 2390.30
エピソード 670: 1768.80
エピソード 680: 2581.70
エピソード 690: 2699.10
エピソード 700: 2856.00
エピソード 710: 4083.20
エピソード 720: 3326.50
エピソード 730: 4194.90
エピソード 740: 2744.80
エピソード 750: 3054.80
エピソード 760: 3491.10
エピソード 770: 1676.20
エピソード 780: 1770.30
エピソード 790: 3019.70
エピソード 800: 1534.40
エピソード 810: 2400.40
エピソード 820: 3320.60
エピソード 830: 2309.00
エピソード 840: 3157.10
エピソード 850: 1534.80
エピソード 860: 1743.80
エピソード 870: 1904.00
エピソード 880: 2305.00
エピソード 890: 3805.10
エピソード 900: 1766.20
エピソード 910: 2233.10
エピソード 920: 4109.70
エピソード 930: 3205.00
エピソード 940: 2561.20
エピソード 950: 2650.30
エピソード 960: 1777.90
エピソード 970: 3268.50
エピソード 980: 2317.40
エピソード 990: 2373.80
エピソード 1000: 3155.70
エピソード 1010: 2664.00
エピソード 1020: 3888.20
エピソード 1030: 2528.90
エピソード 1040: 1420.80
エピソード 1050: 2637.70
エピソード 1060: 3341.80
エピソード 1070: 1998.00
エピソード 1080: 2425.90
エピソード 1090: 3127.90
エピソード 1100: 1691.50
エピソード 1110: 5119.20
エピソード 1120: 3294.00
エピソード 1130: 1759.90
エピソード 1140: 3421.70
エピソード 1150: 4950.30
エピソード 1160: 3139.10
エピソード 1170: 1847.90
エピソード 1180: 3479.90
エピソード 1190: 3268.70
エピソード 1200: 3025.90
エピソード 1210: 2121.40
エピソード 1220: 1820.90
エピソード 1230: 4271.70
エピソード 1240: 2048.70
エピソード 1250: 4283.20
エピソード 1260: 4316.00
エピソード 1270: 1634.70
エピソード 1280: 3503.70
エピソード 1290: 1507.50
エピソード 1300: 2632.90
エピソード 1310: 5204.60
エピソード 1320: 2382.30
エピソード 1330: 6636.30
エピソード 1340: 2772.60
エピソード 1350: 4764.90
エピソード 1360: 3122.60
エピソード 1370: 1690.50
エピソード 1380: 4124.60
エピソード 1390: 3968.60
エピソード 1400: 2348.50
エピソード 1410: 1660.20
エピソード 1420: 2296.70
エピソード 1430: 4087.60
エピソード 1440: 2233.90
エピソード 1450: 5176.30
エピソード 1460: 3107.40
エピソード 1470: 1877.70
エピソード 1480: 2704.20
エピソード 1490: 2113.30
エピソード 1500: 3098.40
エピソード 1510: 5157.80
エピソード 1520: 2835.60
エピソード 1530: 2206.40
エピソード 1540: 4329.90
エピソード 1550: 2271.50
エピソード 1560: 3352.10
エピソード 1570: 3861.60
エピソード 1580: 1579.90
エピソード 1590: 5116.20
エピソード 1600: 2494.70
エピソード 1610: 1678.10
エピソード 1620: 3109.10
エピソード 1630: 2197.20
エピソード 1640: 3339.10
エピソード 1650: 2733.80
エピソード 1660: 3663.10
エピソード 1670: 3573.70
エピソード 1680: 2553.30
エピソード 1690: 3910.80
エピソード 1700: 2726.70
エピソード 1710: 3456.30
エピソード 1720: 4251.20
エピソード 1730: 4307.20
エピソード 1740: 1431.60
エピソード 1750: 3336.30
エピソード 1760: 1974.90
エピソード 1770: 2590.50
エピソード 1780: 4181.00
エピソード 1790: 1711.90
エピソード 1800: 2474.40
エピソード 1810: 5217.30
エピソード 1820: 2356.00
エピソード 1830: 5073.70
エピソード 1840: 2447.50
エピソード 1850: 1775.10
エピソード 1860: 4694.20
エピソード 1870: 2569.20
エピソード 1880: 2205.80
エピソード 1890: 2201.60
エピソード 1900: 1517.30
エピソード 1910: 1479.60
エピソード 1920: 2310.40
エピソード 1930: 2350.10
エピソード 1940: 2700.50
エピソード 1950: 2782.50
エピソード 1960: 1498.60
エピソード 1970: 2847.40
エピソード 1980: 2549.90
エピソード 1990: 4947.30
エピソード 2000: 4434.40
エピソード 2010: 4021.70
エピソード 2020: 8503.90
エピソード 2030: 3191.20
エピソード 2040: 4179.00
エピソード 2050: 1713.90
エピソード 2060: 3444.00
エピソード 2070: 4196.20
エピソード 2080: 2727.50
エピソード 2090: 3424.80
エピソード 2100: 2463.10
エピソード 2110: 4984.20
エピソード 2120: 2185.30
エピソード 2130: 2359.90
エピソード 2140: 1839.50
エピソード 2150: 3291.90
エピソード 2160: 3134.50
エピソード 2170: 2907.30
エピソード 2180: 1566.50
エピソード 2190: 2571.00
エピソード 2200: 1790.70
エピソード 2210: 2385.30
エピソード 2220: 2043.50
エピソード 2230: 1831.20
エピソード 2240: 3618.10
エピソード 2250: 2987.40
エピソード 2260: 3505.10
エピソード 2270: 4787.60
エピソード 2280: 4002.30
エピソード 2290: 2403.20
エピソード 2300: 2736.80
エピソード 2310: 1690.00
エピソード 2320: 2659.20
エピソード 2330: 3022.80
エピソード 2340: 2318.70
エピソード 2350: 4272.10
エピソード 2360: 3062.10
エピソード 2370: 2349.70
エピソード 2380: 2263.70
エピソード 2390: 2431.10
エピソード 2400: 2490.40
エピソード 2410: 3346.00
エピソード 2420: 4819.20
エピソード 2430: 1414.60
エピソード 2440: 4010.00
エピソード 2450: 4093.20
エピソード 2460: 1545.50
エピソード 2470: 1464.00
エピソード 2480: 3402.90
エピソード 2490: 2593.70
エピソード 2500: 3267.30
エピソード 2510: 3151.50
エピソード 2520: 1573.80
エピソード 2530: 3849.60
エピソード 2540: 2219.50
エピソード 2550: 2653.20
エピソード 2560: 1979.80
エピソード 2570: 4134.20
エピソード 2580: 5082.20
エピソード 2590: 4486.40
エピソード 2600: 2713.20
エピソード 2610: 3264.20
エピソード 2620: 3957.10
エピソード 2630: 1633.00
エピソード 2640: 4395.20
エピソード 2650: 1624.40
エピソード 2660: 4059.80
エピソード 2670: 2222.40
エピソード 2680: 2409.50
エピソード 2690: 5891.00
エピソード 2700: 3314.30
エピソード 2710: 2678.70
エピソード 2720: 1711.60
エピソード 2730: 2316.10
エピソード 2740: 3315.20
エピソード 2750: 3489.50
エピソード 2760: 4952.00
エピソード 2770: 4915.90
エピソード 2780: 4208.60
エピソード 2790: 1921.20
エピソード 2800: 2524.00
エピソード 2810: 2469.70
エピソード 2820: 5278.90
エピソード 2830: 4130.40
エピソード 2840: 1664.60
エピソード 2850: 3227.40
エピソード 2860: 3364.80
エピソード 2870: 3604.30
エピソード 2880: 4044.20
エピソード 2890: 2464.30
エピソード 2900: 3087.20
エピソード 2910: 3635.50
エピソード 2920: 3232.20
エピソード 2930: 5584.20
エピソード 2940: 5662.10
エピソード 2950: 2336.00
エピソード 2960: 4723.70
エピソード 2970: 1616.90
エピソード 2980: 2423.70
エピソード 2990: 4086.40
エピソード 3000: 1371.40
エピソード 3010: 2815.90
エピソード 3020: 2268.40
エピソード 3030: 1957.30
エピソード 3040: 2935.50
エピソード 3050: 3457.60
エピソード 3060: 4502.00
エピソード 3070: 3266.10
エピソード 3080: 1710.00
エピソード 3090: 1877.50
エピソード 3100: 3938.00
エピソード 3110: 2481.10
エピソード 3120: 2403.10
エピソード 3130: 2494.70
エピソード 3140: 2996.70
エピソード 3150: 1715.60
エピソード 3160: 4038.40
エピソード 3170: 4019.60
エピソード 3180: 4027.40
エピソード 3190: 3345.70
エピソード 3200: 4143.80
エピソード 3210: 1841.20
エピソード 3220: 4180.50
エピソード 3230: 2664.80
エピソード 3240: 2398.30
エピソード 3250: 1891.00
エピソード 3260: 4054.70
エピソード 3270: 3594.10
エピソード 3280: 3498.00
エピソード 3290: 2493.80
エピソード 3300: 2741.00
エピソード 3310: 3568.70
エピソード 3320: 3191.30
エピソード 3330: 6052.90
エピソード 3340: 3063.00
エピソード 3350: 3456.70
エピソード 3360: 1787.40
エピソード 3370: 3407.10
エピソード 3380: 2290.10
エピソード 3390: 3238.70
エピソード 3400: 3278.80
エピソード 3410: 2117.40
エピソード 3420: 4853.00
エピソード 3430: 3271.00
エピソード 3440: 3931.10
エピソード 3450: 1962.30
エピソード 3460: 3217.00
エピソード 3470: 2693.00
エピソード 3480: 3999.60
エピソード 3490: 4411.20
エピソード 3500: 2573.50
エピソード 3510: 2973.70
エピソード 3520: 2025.40
エピソード 3530: 1700.60
エピソード 3540: 1713.50
エピソード 3550: 3441.70
エピソード 3560: 1501.60
エピソード 3570: 2373.60
エピソード 3580: 2607.50
エピソード 3590: 2081.40
エピソード 3600: 3552.70
エピソード 3610: 2656.10
エピソード 3620: 4824.70
エピソード 3630: 3992.80
エピソード 3640: 4817.00
エピソード 3650: 2201.80
エピソード 3660: 3305.40
エピソード 3670: 3528.80
エピソード 3680: 3168.70
エピソード 3690: 2351.80
エピソード 3700: 1396.40
エピソード 3710: 3918.90
エピソード 3720: 2252.40
エピソード 3730: 2614.60
エピソード 3740: 2547.30
エピソード 3750: 3182.50
エピソード 3760: 3065.60
エピソード 3770: 3397.10
エピソード 3780: 2247.50
エピソード 3790: 1476.40
エピソード 3800: 3919.50
エピソード 3810: 6462.50
エピソード 3820: 2719.90
エピソード 3830: 3319.50
エピソード 3840: 1880.60
エピソード 3850: 2447.10
エピソード 3860: 3142.70
エピソード 3870: 2049.20
エピソード 3880: 1392.00
エピソード 3890: 1839.60
エピソード 3900: 5694.70
エピソード 3910: 3384.10
エピソード 3920: 2345.50
エピソード 3930: 3588.90
エピソード 3940: 2392.40
エピソード 3950: 3939.60
エピソード 3960: 3102.30
エピソード 3970: 2393.50
エピソード 3980: 3183.50
エピソード 3990: 1680.10
エピソード 4000: 3819.90
エピソード 4010: 3277.30
エピソード 4020: 3439.10
エピソード 4030: 4047.10
エピソード 4040: 3480.70
エピソード 4050: 2630.40
エピソード 4060: 2222.80
エピソード 4070: 1990.70
エピソード 4080: 1562.70
エピソード 4090: 2248.50
エピソード 4100: 4103.00
エピソード 4110: 4121.80
エピソード 4120: 1803.00
エピソード 4130: 2239.00
エピソード 4140: 3730.10
エピソード 4150: 2426.10
エピソード 4160: 1798.60
エピソード 4170: 4839.50
エピソード 4180: 2595.30
エピソード 4190: 3503.70
エピソード 4200: 3214.70
エピソード 4210: 2112.00
エピソード 4220: 4219.20
エピソード 4230: 3808.20
エピソード 4240: 2139.10
エピソード 4250: 5761.70
エピソード 4260: 2627.30
エピソード 4270: 3989.60
エピソード 4280: 2616.20
エピソード 4290: 4300.10
エピソード 4300: 2279.90
エピソード 4310: 2366.90
エピソード 4320: 2260.30
エピソード 4330: 3047.20
エピソード 4340: 2298.70
