# 強化学習モデル学習統計

学習日時: 2026年02月08日 19:13:42
学習エピソード数: 5000
最終平均報酬: 4145.65
Q-tableサイズ: 2683 状態

## エピソードごとの報酬推移
エピソード 1: 5438.20
エピソード 10: 3928.50
エピソード 20: 5691.40
エピソード 30: 2823.90
エピソード 40: 3835.60
エピソード 50: 3310.30
エピソード 60: 5082.80
エピソード 70: 3060.30
エピソード 80: 3403.80
エピソード 90: 4327.70
エピソード 100: 3004.60
エピソード 110: 1944.90
エピソード 120: 5120.90
エピソード 130: 2782.00
エピソード 140: 3871.20
エピソード 150: 3876.10
エピソード 160: 3662.30
エピソード 170: 2926.60
エピソード 180: 2343.30
エピソード 190: 4084.80
エピソード 200: 4819.10
エピソード 210: 4706.80
エピソード 220: 3380.00
エピソード 230: 3121.50
エピソード 240: 2980.90
エピソード 250: 3158.20
エピソード 260: 4933.30
エピソード 270: 2577.90
エピソード 280: 3684.30
エピソード 290: 3970.10
エピソード 300: 5220.20
エピソード 310: 4359.50
エピソード 320: 4826.70
エピソード 330: 4580.30
エピソード 340: 3030.30
エピソード 350: 4468.30
エピソード 360: 4917.10
エピソード 370: 2831.80
エピソード 380: 4551.00
エピソード 390: 2220.10
エピソード 400: 4308.00
エピソード 410: 4792.70
エピソード 420: 4315.20
エピソード 430: 2877.10
エピソード 440: 3561.30
エピソード 450: 5029.20
エピソード 460: 4713.30
エピソード 470: 4837.40
エピソード 480: 4842.80
エピソード 490: 3560.90
エピソード 500: 2554.00
エピソード 510: 3600.60
エピソード 520: 4606.00
エピソード 530: 4570.60
エピソード 540: 3674.30
エピソード 550: 5691.00
エピソード 560: 2927.00
エピソード 570: 3070.90
エピソード 580: 3608.70
エピソード 590: 5673.40
エピソード 600: 3631.40
エピソード 610: 2840.80
エピソード 620: 3483.60
エピソード 630: 4681.30
エピソード 640: 6443.70
エピソード 650: 3090.40
エピソード 660: 4713.20
エピソード 670: 3052.10
エピソード 680: 3159.40
エピソード 690: 3446.80
エピソード 700: 4450.50
エピソード 710: 2676.60
エピソード 720: 4625.20
エピソード 730: 3934.50
エピソード 740: 3884.90
エピソード 750: 4364.50
エピソード 760: 4737.60
エピソード 770: 3916.50
エピソード 780: 5189.90
エピソード 790: 3119.80
エピソード 800: 5363.60
エピソード 810: 3934.10
エピソード 820: 3275.10
エピソード 830: 3084.30
エピソード 840: 3808.80
エピソード 850: 3196.70
エピソード 860: 2687.00
エピソード 870: 4568.80
エピソード 880: 3359.40
エピソード 890: 3287.30
エピソード 900: 5563.40
エピソード 910: 4908.60
エピソード 920: 3670.50
エピソード 930: 3732.10
エピソード 940: 5287.00
エピソード 950: 4312.50
エピソード 960: 3185.60
エピソード 970: 3365.20
エピソード 980: 3104.50
エピソード 990: 4426.50
エピソード 1000: 4976.00
エピソード 1010: 5311.50
エピソード 1020: 4804.50
エピソード 1030: 3050.50
エピソード 1040: 3405.00
エピソード 1050: 5508.80
エピソード 1060: 3556.50
エピソード 1070: 5966.00
エピソード 1080: 4164.00
エピソード 1090: 5105.40
エピソード 1100: 4678.60
エピソード 1110: 4347.60
エピソード 1120: 4556.80
エピソード 1130: 3824.60
エピソード 1140: 4425.00
エピソード 1150: 3065.60
エピソード 1160: 5437.10
エピソード 1170: 3926.40
エピソード 1180: 3197.00
エピソード 1190: 4906.80
エピソード 1200: 4777.80
エピソード 1210: 2477.50
エピソード 1220: 3633.90
エピソード 1230: 3053.00
エピソード 1240: 3623.70
エピソード 1250: 3857.50
エピソード 1260: 2684.20
エピソード 1270: 4458.90
エピソード 1280: 4578.10
エピソード 1290: 3165.70
エピソード 1300: 3643.70
エピソード 1310: 4125.10
エピソード 1320: 4001.30
エピソード 1330: 5032.90
エピソード 1340: 4769.80
エピソード 1350: 3939.00
エピソード 1360: 3500.10
エピソード 1370: 4222.70
エピソード 1380: 4087.80
エピソード 1390: 2861.40
エピソード 1400: 2630.90
エピソード 1410: 4550.60
エピソード 1420: 3959.90
エピソード 1430: 3955.90
エピソード 1440: 2611.10
エピソード 1450: 3911.30
エピソード 1460: 2047.00
エピソード 1470: 5599.40
エピソード 1480: 3185.50
エピソード 1490: 3011.10
エピソード 1500: 4663.40
エピソード 1510: 4187.10
エピソード 1520: 3706.80
エピソード 1530: 3321.90
エピソード 1540: 3842.60
エピソード 1550: 5689.20
エピソード 1560: 3525.70
エピソード 1570: 4524.80
エピソード 1580: 4959.90
エピソード 1590: 5515.90
エピソード 1600: 4212.20
エピソード 1610: 6097.50
エピソード 1620: 3085.80
エピソード 1630: 4130.60
エピソード 1640: 3760.60
エピソード 1650: 5266.50
エピソード 1660: 3800.30
エピソード 1670: 5014.50
エピソード 1680: 3705.50
エピソード 1690: 3170.30
エピソード 1700: 5023.30
エピソード 1710: 2597.40
エピソード 1720: 4711.80
エピソード 1730: 3729.60
エピソード 1740: 2052.30
エピソード 1750: 4453.90
エピソード 1760: 2986.10
エピソード 1770: 5336.80
エピソード 1780: 6376.10
エピソード 1790: 3339.40
エピソード 1800: 4332.00
エピソード 1810: 3737.80
エピソード 1820: 3065.20
エピソード 1830: 5659.50
エピソード 1840: 2702.70
エピソード 1850: 4678.40
エピソード 1860: 3524.90
エピソード 1870: 4371.60
エピソード 1880: 4761.00
エピソード 1890: 2954.10
エピソード 1900: 5116.30
エピソード 1910: 2825.30
エピソード 1920: 4885.00
エピソード 1930: 4492.40
エピソード 1940: 4056.00
エピソード 1950: 3324.00
エピソード 1960: 5372.10
エピソード 1970: 2998.90
エピソード 1980: 4885.60
エピソード 1990: 4058.00
エピソード 2000: 4982.20
エピソード 2010: 2588.10
エピソード 2020: 4447.40
エピソード 2030: 3534.70
エピソード 2040: 3423.80
エピソード 2050: 4273.80
エピソード 2060: 6168.20
エピソード 2070: 4273.10
エピソード 2080: 4140.10
エピソード 2090: 3746.50
エピソード 2100: 3412.80
エピソード 2110: 4875.70
エピソード 2120: 4559.70
エピソード 2130: 5539.50
エピソード 2140: 2983.90
エピソード 2150: 3354.40
エピソード 2160: 3036.60
エピソード 2170: 4046.20
エピソード 2180: 5405.40
エピソード 2190: 4715.50
エピソード 2200: 2494.70
エピソード 2210: 3286.60
エピソード 2220: 4090.00
エピソード 2230: 5356.80
エピソード 2240: 5325.90
エピソード 2250: 3860.50
エピソード 2260: 2933.40
エピソード 2270: 3506.90
