# 強化学習モデル学習統計

学習日時: 2026年01月07日 14:54:38
学習エピソード数: 1000
最終平均報酬: 4561.65
Q-tableサイズ: 186 状態

## エピソードごとの報酬推移
エピソード 1: 5159.50
エピソード 10: 3789.50
エピソード 20: 5399.00
エピソード 30: 4405.50
エピソード 40: 4169.00
エピソード 50: 4575.00
エピソード 60: 4705.50
エピソード 70: 4254.00
エピソード 80: 4377.00
エピソード 90: 4861.50
エピソード 100: 3721.50
エピソード 110: 4224.00
エピソード 120: 4391.00
エピソード 130: 4867.50
エピソード 140: 5225.50
エピソード 150: 4624.00
エピソード 160: 4684.00
エピソード 170: 4611.00
エピソード 180: 4581.50
エピソード 190: 4866.50
エピソード 200: 4434.00
エピソード 210: 4233.00
エピソード 220: 4245.00
エピソード 230: 4252.50
エピソード 240: 4780.00
エピソード 250: 3878.50
エピソード 260: 4804.50
エピソード 270: 3568.50
エピソード 280: 5031.50
エピソード 290: 4120.00
エピソード 300: 4989.00
エピソード 310: 5736.50
エピソード 320: 4390.50
エピソード 330: 4062.50
エピソード 340: 4299.50
エピソード 350: 4278.00
エピソード 360: 4647.00
エピソード 370: 4638.50
エピソード 380: 4268.00
エピソード 390: 4438.50
エピソード 400: 4908.00
エピソード 410: 4626.50
エピソード 420: 5003.00
エピソード 430: 4144.50
エピソード 440: 4493.50
エピソード 450: 4241.00
エピソード 460: 4991.50
エピソード 470: 4882.00
エピソード 480: 4499.50
エピソード 490: 4644.50
エピソード 500: 4780.50
エピソード 510: 4815.50
エピソード 520: 5056.50
エピソード 530: 4576.50
エピソード 540: 4837.50
エピソード 550: 4413.00
エピソード 560: 4711.50
エピソード 570: 5647.00
エピソード 580: 4802.00
エピソード 590: 5107.50
エピソード 600: 5184.00
エピソード 610: 4600.50
エピソード 620: 4083.00
エピソード 630: 4525.50
エピソード 640: 5037.50
エピソード 650: 4298.00
エピソード 660: 4887.00
エピソード 670: 4708.50
エピソード 680: 4326.00
エピソード 690: 4083.50
エピソード 700: 4468.50
エピソード 710: 4636.50
エピソード 720: 5089.00
エピソード 730: 5546.50
エピソード 740: 4597.00
エピソード 750: 4699.00
エピソード 760: 4568.50
エピソード 770: 4456.50
エピソード 780: 4955.00
エピソード 790: 4764.00
エピソード 800: 5612.50
エピソード 810: 3929.00
エピソード 820: 4459.50
エピソード 830: 4811.00
エピソード 840: 4977.00
エピソード 850: 4066.00
エピソード 860: 4293.50
エピソード 870: 4444.00
エピソード 880: 4255.50
エピソード 890: 5132.00
エピソード 900: 4601.00
エピソード 910: 4799.00
エピソード 920: 4636.00
エピソード 930: 3996.50
エピソード 940: 5122.00
エピソード 950: 4042.50
エピソード 960: 4230.50
エピソード 970: 5064.50
エピソード 980: 5211.50
エピソード 990: 4359.50
エピソード 1000: 4597.50
