# 強化学習モデル学習統計

学習日時: 2026年02月08日 22:28:00
学習エピソード数: 10000
最終平均報酬: -3715.73
Q-tableサイズ: 143 状態

## エピソードごとの報酬推移
エピソード 1: -4717.40
エピソード 10: -5253.90
エピソード 20: -5181.50
エピソード 30: -5733.70
エピソード 40: -1710.80
エピソード 50: -6112.60
エピソード 60: -5341.40
エピソード 70: -2304.90
エピソード 80: -499.60
エピソード 90: -418.90
エピソード 100: -2328.80
エピソード 110: -3701.40
エピソード 120: -5706.10
エピソード 130: -2178.40
エピソード 140: -3454.10
エピソード 150: -1300.20
エピソード 160: -898.40
エピソード 170: -6444.30
エピソード 180: -6279.80
エピソード 190: -2017.30
エピソード 200: -6048.10
エピソード 210: -6156.00
エピソード 220: -2328.80
エピソード 230: -3225.90
エピソード 240: -6043.60
エピソード 250: -3374.40
エピソード 260: -2347.30
エピソード 270: -2868.90
エピソード 280: -2412.10
エピソード 290: -2539.70
エピソード 300: -1756.60
エピソード 310: -3004.40
エピソード 320: -4337.60
エピソード 330: -5480.30
エピソード 340: -5449.00
エピソード 350: -5568.70
エピソード 360: -4446.50
エピソード 370: -6233.50
エピソード 380: -235.40
エピソード 390: -5228.30
エピソード 400: -5522.10
エピソード 410: -3871.00
エピソード 420: -3140.90
エピソード 430: -5134.60
エピソード 440: -2843.00
エピソード 450: -6211.00
エピソード 460: -2141.30
エピソード 470: -5774.40
エピソード 480: -3734.00
エピソード 490: -3733.10
エピソード 500: -1909.80
エピソード 510: -4009.80
エピソード 520: -6486.30
エピソード 530: -6374.30
エピソード 540: -2541.80
エピソード 550: -4062.10
エピソード 560: -2539.50
エピソード 570: -6232.80
エピソード 580: -5219.40
エピソード 590: -6713.20
エピソード 600: -5044.00
エピソード 610: -5422.30
エピソード 620: -6172.60
エピソード 630: -6158.90
エピソード 640: -4143.10
エピソード 650: -1980.20
エピソード 660: -6101.40
エピソード 670: -1006.80
エピソード 680: -3495.00
エピソード 690: -5906.50
エピソード 700: -4665.80
エピソード 710: -5430.40
エピソード 720: -3786.60
エピソード 730: -4022.00
エピソード 740: -2980.70
エピソード 750: -2680.20
エピソード 760: 254.10
エピソード 770: -6529.20
エピソード 780: -3772.60
エピソード 790: -2259.80
エピソード 800: -424.20
エピソード 810: -2142.00
エピソード 820: -2264.20
エピソード 830: -2094.00
エピソード 840: -5866.10
エピソード 850: -5555.70
エピソード 860: -4837.00
エピソード 870: -2653.40
エピソード 880: -5811.90
エピソード 890: -5200.40
エピソード 900: -5439.50
エピソード 910: -3919.00
エピソード 920: -5427.10
エピソード 930: -6366.80
エピソード 940: -5621.60
エピソード 950: -4051.60
エピソード 960: -2973.50
エピソード 970: -6487.50
エピソード 980: -6650.60
エピソード 990: -6371.50
エピソード 1000: -5216.40
エピソード 1010: -6381.00
エピソード 1020: -6783.40
エピソード 1030: -3529.40
エピソード 1040: -1436.40
エピソード 1050: -1954.50
エピソード 1060: -5824.30
エピソード 1070: -5855.70
エピソード 1080: -6617.40
エピソード 1090: -1877.80
