# 強化学習モデル学習統計

学習日時: 2026年02月09日 07:49:11
学習エピソード数: 10000
最終平均報酬: -3532.13
Q-tableサイズ: 157 状態

## エピソードごとの報酬推移
エピソード 1: -4423.60
エピソード 10: -6015.10
エピソード 20: -1159.50
エピソード 30: -5867.90
エピソード 40: -1279.90
エピソード 50: -5936.00
エピソード 60: -1834.70
エピソード 70: -3532.50
エピソード 80: -5773.60
エピソード 90: -2357.40
エピソード 100: -4383.80
エピソード 110: -6061.70
エピソード 120: -5605.60
エピソード 130: -2035.70
エピソード 140: -4239.70
エピソード 150: -3759.40
エピソード 160: -2849.40
エピソード 170: -5445.10
エピソード 180: -4378.50
エピソード 190: -3887.30
エピソード 200: -4758.50
エピソード 210: -2374.50
エピソード 220: -5566.60
エピソード 230: -4150.20
エピソード 240: -2156.10
エピソード 250: -4876.50
エピソード 260: -913.60
エピソード 270: -3018.00
エピソード 280: -580.30
エピソード 290: -6228.00
エピソード 300: -5918.30
エピソード 310: -6121.30
エピソード 320: -2231.20
エピソード 330: -2161.40
エピソード 340: -589.50
エピソード 350: -2012.00
エピソード 360: -4224.30
エピソード 370: -2367.10
エピソード 380: -2021.60
エピソード 390: -2341.70
エピソード 400: -2386.90
エピソード 410: -4518.20
エピソード 420: -6554.20
エピソード 430: -1974.30
エピソード 440: -839.60
エピソード 450: -4449.10
エピソード 460: -5826.20
エピソード 470: -3899.10
エピソード 480: -6185.50
エピソード 490: -3583.40
エピソード 500: -2745.40
エピソード 510: -2610.90
エピソード 520: -5696.10
エピソード 530: -5975.00
エピソード 540: -2117.70
エピソード 550: -5934.20
エピソード 560: -2140.80
エピソード 570: -1772.70
エピソード 580: -5272.80
エピソード 590: -4241.30
エピソード 600: -6337.10
エピソード 610: -3454.40
エピソード 620: -3886.30
エピソード 630: -3582.10
エピソード 640: -2633.70
エピソード 650: -6159.60
エピソード 660: -2886.30
エピソード 670: -2660.00
エピソード 680: -5817.40
エピソード 690: -2370.90
エピソード 700: -4224.10
エピソード 710: -5665.20
エピソード 720: -3929.10
エピソード 730: -5857.00
エピソード 740: -1952.70
エピソード 750: -1448.30
エピソード 760: -4318.90
エピソード 770: -4167.00
エピソード 780: -6321.30
エピソード 790: -3299.00
エピソード 800: -4390.90
エピソード 810: -6514.30
エピソード 820: -2200.50
エピソード 830: -5772.90
エピソード 840: -3140.50
エピソード 850: -1811.40
エピソード 860: -4045.00
エピソード 870: -1320.40
エピソード 880: -5501.70
エピソード 890: -5958.60
エピソード 900: -5483.20
エピソード 910: -3399.30
エピソード 920: -5560.90
エピソード 930: -1216.50
エピソード 940: -3969.80
エピソード 950: -5423.50
エピソード 960: -2593.80
エピソード 970: -1374.20
エピソード 980: -5979.00
エピソード 990: -5812.20
エピソード 1000: -6491.60
エピソード 1010: -3510.30
エピソード 1020: -3724.40
エピソード 1030: -4714.40
エピソード 1040: -5634.10
エピソード 1050: -4170.10
エピソード 1060: -4638.60
エピソード 1070: -4035.20
エピソード 1080: -2201.10
エピソード 1090: -2083.10
エピソード 1100: -994.20
エピソード 1110: -1458.50
エピソード 1120: -1347.80
エピソード 1130: -2021.10
エピソード 1140: -5246.40
エピソード 1150: -6030.80
エピソード 1160: -1672.90
エピソード 1170: -3583.20
エピソード 1180: -6023.80
エピソード 1190: -5870.70
エピソード 1200: -5949.60
エピソード 1210: -5854.60
エピソード 1220: -3529.80
エピソード 1230: -1106.10
エピソード 1240: -2297.70
エピソード 1250: -6395.20
エピソード 1260: -6024.70
エピソード 1270: -5937.50
エピソード 1280: -6643.60
エピソード 1290: -4880.80
エピソード 1300: -4360.60
エピソード 1310: -1117.10
エピソード 1320: -6800.30
エピソード 1330: -5252.40
エピソード 1340: -896.20
エピソード 1350: -6527.20
エピソード 1360: -2944.30
エピソード 1370: -4473.00
エピソード 1380: -2886.80
エピソード 1390: -1103.20
エピソード 1400: -1911.70
エピソード 1410: -3575.90
エピソード 1420: -3620.10
エピソード 1430: -4683.60
エピソード 1440: -1646.40
エピソード 1450: -2652.40
エピソード 1460: -4300.10
エピソード 1470: -5632.10
エピソード 1480: -5079.50
エピソード 1490: -2722.40
エピソード 1500: -4179.10
エピソード 1510: -2477.30
エピソード 1520: -5835.90
エピソード 1530: -3363.30
エピソード 1540: -1886.70
エピソード 1550: -5726.60
エピソード 1560: -6028.20
エピソード 1570: -4179.60
エピソード 1580: -5939.90
エピソード 1590: -638.60
エピソード 1600: -2028.00
エピソード 1610: -3836.30
エピソード 1620: -4872.90
エピソード 1630: -1284.90
エピソード 1640: -6447.80
エピソード 1650: -6451.60
エピソード 1660: -2892.20
エピソード 1670: -6501.50
エピソード 1680: -5761.90
エピソード 1690: -1623.30
エピソード 1700: -3173.10
エピソード 1710: -5339.10
エピソード 1720: -5874.20
エピソード 1730: -5921.50
エピソード 1740: -5707.30
エピソード 1750: -2358.00
エピソード 1760: -1367.00
エピソード 1770: -3227.60
エピソード 1780: -6563.60
エピソード 1790: -1787.90
エピソード 1800: -702.40
エピソード 1810: -5111.70
エピソード 1820: -1976.70
エピソード 1830: -4680.00
エピソード 1840: -5640.90
エピソード 1850: -1366.70
エピソード 1860: -1607.00
エピソード 1870: -3525.20
エピソード 1880: -2320.60
エピソード 1890: -1516.80
エピソード 1900: -4197.00
エピソード 1910: -1649.10
エピソード 1920: -1344.80
エピソード 1930: -1956.70
エピソード 1940: -1732.40
エピソード 1950: -6214.20
エピソード 1960: -3291.20
エピソード 1970: -2487.40
エピソード 1980: -2632.50
エピソード 1990: -3742.20
エピソード 2000: -3752.40
エピソード 2010: -3086.00
エピソード 2020: -2397.60
エピソード 2030: -2100.80
エピソード 2040: -6095.10
エピソード 2050: -2246.00
エピソード 2060: -2273.10
エピソード 2070: -4992.70
エピソード 2080: -2899.40
エピソード 2090: -966.40
エピソード 2100: -3417.60
エピソード 2110: -4127.50
エピソード 2120: -1430.20
エピソード 2130: -554.70
エピソード 2140: -6542.60
エピソード 2150: -3734.90
エピソード 2160: -2145.80
エピソード 2170: -3263.60
エピソード 2180: -5534.60
エピソード 2190: -1919.50
エピソード 2200: -5954.10
エピソード 2210: -2526.70
エピソード 2220: -2707.00
エピソード 2230: -3759.00
エピソード 2240: 26.20
エピソード 2250: -6444.90
エピソード 2260: -2881.70
エピソード 2270: -5558.80
エピソード 2280: -6152.60
エピソード 2290: -3470.60
エピソード 2300: -2383.40
エピソード 2310: -2251.20
エピソード 2320: -1388.00
エピソード 2330: -5344.70
エピソード 2340: -5397.70
エピソード 2350: -3251.70
エピソード 2360: -2437.10
エピソード 2370: -2092.90
エピソード 2380: -2688.60
エピソード 2390: -2233.60
エピソード 2400: -5287.90
エピソード 2410: -2204.00
エピソード 2420: -940.70
エピソード 2430: -6591.00
エピソード 2440: -6852.50
エピソード 2450: -1862.60
エピソード 2460: -2345.80
エピソード 2470: -4004.80
エピソード 2480: -1664.10
エピソード 2490: -727.80
エピソード 2500: -2725.20
エピソード 2510: -5218.70
エピソード 2520: -6260.30
エピソード 2530: -421.40
エピソード 2540: -2253.90
エピソード 2550: -6661.80
エピソード 2560: -5396.70
エピソード 2570: -5839.00
エピソード 2580: -6302.80
エピソード 2590: -6853.40
エピソード 2600: -2396.70
エピソード 2610: -1063.80
エピソード 2620: -1701.40
エピソード 2630: -2468.60
エピソード 2640: -2101.50
エピソード 2650: -6326.10
エピソード 2660: -1485.00
エピソード 2670: -3024.00
エピソード 2680: -2162.60
エピソード 2690: -5129.60
エピソード 2700: -3035.50
エピソード 2710: -5721.80
エピソード 2720: -4558.30
エピソード 2730: -3916.40
エピソード 2740: -6550.00
エピソード 2750: -1467.90
エピソード 2760: -1287.60
エピソード 2770: -814.60
エピソード 2780: -4848.60
エピソード 2790: -5807.10
エピソード 2800: -4919.90
エピソード 2810: -1842.40
エピソード 2820: -4078.20
エピソード 2830: -1369.10
エピソード 2840: -1306.20
エピソード 2850: -4657.50
エピソード 2860: -4954.30
エピソード 2870: -1133.50
エピソード 2880: -2518.00
エピソード 2890: -5238.10
エピソード 2900: -6531.40
エピソード 2910: -6878.00
エピソード 2920: -2279.50
エピソード 2930: -2536.90
エピソード 2940: -2589.90
エピソード 2950: -6147.50
エピソード 2960: -4736.60
エピソード 2970: -4655.00
エピソード 2980: -1937.90
エピソード 2990: -1835.40
エピソード 3000: -6025.20
エピソード 3010: -5534.60
エピソード 3020: -1050.80
エピソード 3030: -3336.50
エピソード 3040: -2160.60
エピソード 3050: -3177.70
エピソード 3060: -5663.70
エピソード 3070: -1230.70
エピソード 3080: -6104.70
エピソード 3090: -6012.80
エピソード 3100: -3211.80
エピソード 3110: -6422.70
エピソード 3120: -1711.50
エピソード 3130: -2274.30
エピソード 3140: -2237.90
エピソード 3150: -4975.50
エピソード 3160: -3566.30
エピソード 3170: -5564.80
エピソード 3180: -5110.90
エピソード 3190: -4557.40
エピソード 3200: -2758.80
エピソード 3210: 328.60
エピソード 3220: -5992.00
エピソード 3230: -2071.90
エピソード 3240: -3374.80
エピソード 3250: -3793.20
エピソード 3260: -6231.30
エピソード 3270: -5869.90
エピソード 3280: -6654.40
エピソード 3290: -4797.10
エピソード 3300: -5955.90
エピソード 3310: -277.30
エピソード 3320: -1716.00
エピソード 3330: -1944.50
エピソード 3340: -3893.80
エピソード 3350: -1561.80
エピソード 3360: -2191.60
エピソード 3370: -5593.30
エピソード 3380: -3224.40
エピソード 3390: -1329.80
エピソード 3400: -2597.70
エピソード 3410: -5445.70
エピソード 3420: -4918.70
エピソード 3430: -1865.50
エピソード 3440: -3928.10
エピソード 3450: -5852.40
エピソード 3460: -1070.10
エピソード 3470: -3833.10
エピソード 3480: -2320.30
エピソード 3490: -6455.10
エピソード 3500: -3508.30
エピソード 3510: -4180.90
エピソード 3520: -1767.20
エピソード 3530: -2167.90
エピソード 3540: -2942.80
エピソード 3550: -1404.20
エピソード 3560: -2588.80
エピソード 3570: -2116.50
エピソード 3580: -4289.10
エピソード 3590: -607.50
エピソード 3600: -6353.40
エピソード 3610: -6915.30
エピソード 3620: -5824.40
エピソード 3630: -2692.20
エピソード 3640: -6268.80
エピソード 3650: -5295.30
エピソード 3660: -2206.60
エピソード 3670: -5402.20
エピソード 3680: -5079.70
