# 強化学習モデル学習統計

学習日時: 2026年01月07日 14:30:20
学習エピソード数: 500
最終平均報酬: -2235.64
Q-tableサイズ: 18 状態

## エピソードごとの報酬推移
エピソード 1: -2215.40
エピソード 10: -2311.80
エピソード 20: -2042.70
エピソード 30: -2208.80
エピソード 40: -2222.70
エピソード 50: -2163.70
エピソード 60: -2254.30
エピソード 70: -2255.70
エピソード 80: -2104.60
エピソード 90: -2214.50
エピソード 100: -2133.10
エピソード 110: -2254.40
エピソード 120: -2298.70
エピソード 130: -2194.70
エピソード 140: -2444.60
エピソード 150: -2148.70
エピソード 160: -2372.40
エピソード 170: -2210.10
エピソード 180: -2302.80
エピソード 190: -2372.10
エピソード 200: -2225.80
エピソード 210: -2375.70
エピソード 220: -2315.10
エピソード 230: -2285.20
エピソード 240: -2175.40
エピソード 250: -2220.20
エピソード 260: -2143.40
エピソード 270: -2168.40
エピソード 280: -2239.90
エピソード 290: -2358.70
エピソード 300: -2365.00
エピソード 310: -2239.50
エピソード 320: -2034.70
エピソード 330: -2193.90
エピソード 340: -2183.90
エピソード 350: -2325.40
エピソード 360: -2121.30
エピソード 370: -2249.60
エピソード 380: -2401.00
エピソード 390: -2290.90
エピソード 400: -2182.40
エピソード 410: -2269.50
エピソード 420: -2491.60
エピソード 430: -2377.90
エピソード 440: -2320.30
エピソード 450: -2099.00
エピソード 460: -2364.50
エピソード 470: -2254.30
エピソード 480: -2250.90
エピソード 490: -2157.80
エピソード 500: -2172.20
