# 強化学習モデル学習統計

学習日時: 2026年02月09日 08:18:13
学習エピソード数: 20000
最終平均報酬: -3746.49
Q-tableサイズ: 485 状態

## エピソードごとの報酬推移
エピソード 2290: -5178.00
エピソード 2300: -4596.00
エピソード 2310: -2827.00
エピソード 2320: -3174.50
エピソード 2330: -3065.00
エピソード 2340: -5011.50
エピソード 2350: -2497.00
エピソード 2360: -3637.00
エピソード 2370: -5045.00
エピソード 2380: -3616.00
エピソード 2390: -2470.50
エピソード 2400: -4568.50
エピソード 2410: -4628.00
エピソード 2420: -5213.50
エピソード 2430: -4255.50
エピソード 2440: -4462.50
エピソード 2450: -2553.50
エピソード 2460: -2721.50
エピソード 2470: -2472.00
エピソード 2480: -2053.00
エピソード 2490: -5659.00
エピソード 2500: -4080.50
エピソード 2510: -1724.00
エピソード 2520: -5181.50
エピソード 2530: -5569.00
エピソード 2540: -5214.00
エピソード 2550: -3733.50
エピソード 2560: -2801.50
エピソード 2570: -2123.50
エピソード 2580: -4799.00
エピソード 2590: -5053.00
エピソード 2600: -3391.50
エピソード 2610: -4442.50
エピソード 2620: -4615.50
エピソード 2630: -5048.50
エピソード 2640: -4397.00
エピソード 2650: -4762.50
エピソード 2660: -3206.50
エピソード 2670: -4343.50
エピソード 2680: -3318.50
エピソード 2690: -2180.00
エピソード 2700: -2178.50
エピソード 2710: -3128.50
エピソード 2720: -4936.50
エピソード 2730: -3685.50
エピソード 2740: -3416.50
エピソード 2750: -5257.00
エピソード 2760: -3165.50
エピソード 2770: -5601.50
エピソード 2780: -4582.50
エピソード 2790: -3893.50
エピソード 2800: -5299.50
エピソード 2810: -2718.50
エピソード 2820: -1605.50
エピソード 2830: -4039.00
エピソード 2840: -3697.50
エピソード 2850: -3620.00
エピソード 2860: -3369.50
エピソード 2870: -3380.50
エピソード 2880: -2881.50
エピソード 2890: -2901.50
エピソード 2900: -4146.50
エピソード 2910: -5194.50
エピソード 2920: -4866.50
エピソード 2930: -5297.50
エピソード 2940: -4021.50
エピソード 2950: -3475.50
エピソード 2960: -2110.00
エピソード 2970: -3991.50
エピソード 2980: -5230.50
エピソード 2990: -4444.00
エピソード 3000: -5709.00
エピソード 3010: -3514.50
エピソード 3020: -5483.00
エピソード 3030: -5262.50
エピソード 3040: -3008.50
エピソード 3050: -3471.00
エピソード 3060: -3995.00
エピソード 3070: -3726.50
エピソード 3080: -3343.50
エピソード 3090: -3050.00
エピソード 3100: -4383.50
エピソード 3110: -5403.00
エピソード 3120: -3952.00
エピソード 3130: -3275.50
エピソード 3140: -3489.50
エピソード 3150: -2792.50
エピソード 3160: -4661.50
エピソード 3170: -3362.00
エピソード 3180: -4729.00
エピソード 3190: -4569.00
エピソード 3200: -4833.50
エピソード 3210: -3659.50
エピソード 3220: -3187.00
エピソード 3230: -4691.00
エピソード 3240: -3798.50
エピソード 3250: -2979.00
エピソード 3260: -3996.50
エピソード 3270: -3571.50
エピソード 3280: -1489.50
エピソード 3290: -5294.00
エピソード 3300: -2850.00
エピソード 3310: -3430.50
エピソード 3320: -3665.50
エピソード 3330: -1944.00
エピソード 3340: -2747.00
エピソード 3350: -5152.50
エピソード 3360: -2464.00
エピソード 3370: -2650.00
エピソード 3380: -5102.50
エピソード 3390: -5297.00
エピソード 3400: -4937.50
エピソード 3410: -2887.50
エピソード 3420: -3191.50
エピソード 3430: -3560.00
エピソード 3440: -4042.50
エピソード 3450: -3507.00
エピソード 3460: -4106.50
エピソード 3470: -2552.50
エピソード 3480: -2581.00
エピソード 3490: -2980.50
エピソード 3500: -4878.00
エピソード 3510: -3224.00
エピソード 3520: -3956.50
エピソード 3530: -4210.50
エピソード 3540: -5170.00
エピソード 3550: -3462.00
エピソード 3560: -2572.50
エピソード 3570: -5421.00
エピソード 3580: -4511.50
エピソード 3590: -5161.50
エピソード 3600: -5547.00
エピソード 3610: -4131.50
エピソード 3620: -4223.50
エピソード 3630: -3944.50
エピソード 3640: -2652.50
エピソード 3650: -3799.50
エピソード 3660: -2847.00
エピソード 3670: -3097.00
エピソード 3680: -1772.00
エピソード 3690: -5248.00
エピソード 3700: -3628.00
エピソード 3710: -3008.00
エピソード 3720: -4069.00
エピソード 3730: -4271.00
エピソード 3740: -5133.00
エピソード 3750: -4887.00
エピソード 3760: -2456.00
エピソード 3770: -5510.00
エピソード 3780: -4371.00
エピソード 3790: -3002.00
エピソード 3800: -4101.50
エピソード 3810: -3564.50
エピソード 3820: -4397.50
エピソード 3830: -3405.50
エピソード 3840: -5316.50
エピソード 3850: -2666.50
エピソード 3860: -5609.50
エピソード 3870: -3851.50
エピソード 3880: -4485.50
エピソード 3890: -5504.50
エピソード 3900: -3617.50
エピソード 3910: -4860.50
エピソード 3920: -4126.50
エピソード 3930: -2480.00
エピソード 3940: -4261.50
エピソード 3950: -1938.00
エピソード 3960: -4290.00
エピソード 3970: -3819.50
エピソード 3980: -2221.00
エピソード 3990: -3959.50
エピソード 4000: -3382.50
エピソード 4010: -3483.00
エピソード 4020: -2940.50
エピソード 4030: -2913.50
エピソード 4040: -3894.50
エピソード 4050: -2474.50
エピソード 4060: -3032.50
エピソード 4070: -3655.00
エピソード 4080: -4065.00
エピソード 4090: -3733.00
エピソード 4100: -2373.50
エピソード 4110: -2785.50
エピソード 4120: -4947.50
エピソード 4130: -3940.00
エピソード 4140: -3352.50
エピソード 4150: -3524.00
エピソード 4160: -2485.00
エピソード 4170: -4212.00
エピソード 4180: -5057.00
エピソード 4190: -3505.50
エピソード 4200: -4927.00
エピソード 4210: -4402.50
エピソード 4220: -2727.00
エピソード 4230: -3478.50
エピソード 4240: -4807.50
エピソード 4250: -4506.00
エピソード 4260: -3963.50
エピソード 4270: -4532.50
エピソード 4280: -2949.00
エピソード 4290: -4117.50
エピソード 4300: -2985.50
エピソード 4310: -2952.00
エピソード 4320: -5223.50
エピソード 4330: -2949.00
エピソード 4340: -4305.50
エピソード 4350: -5522.50
エピソード 4360: -5235.00
エピソード 4370: -3064.00
エピソード 4380: -3482.00
エピソード 4390: -3517.50
エピソード 4400: -3257.00
エピソード 4410: -2901.50
エピソード 4420: -2460.50
エピソード 4430: -2806.50
エピソード 4440: -3549.50
エピソード 4450: -5052.50
エピソード 4460: -4006.50
エピソード 4470: -5274.50
エピソード 4480: -5719.50
エピソード 4490: -4805.00
エピソード 4500: -5822.00
エピソード 4510: -2778.00
エピソード 4520: -3249.50
エピソード 4530: -3599.50
エピソード 4540: -5315.50
エピソード 4550: -5143.50
エピソード 4560: -4780.00
エピソード 4570: -4839.50
エピソード 4580: -3970.50
エピソード 4590: -2970.00
エピソード 4600: -3059.00
エピソード 4610: -3575.00
エピソード 4620: -4698.50
エピソード 4630: -3158.00
エピソード 4640: -1650.00
エピソード 4650: -5137.00
エピソード 4660: -2403.00
エピソード 4670: -3071.50
エピソード 4680: -3166.00
エピソード 4690: -2691.00
エピソード 4700: -3149.00
エピソード 4710: -3975.00
エピソード 4720: -3387.00
エピソード 4730: -2808.50
エピソード 4740: -2541.50
エピソード 4750: -4532.00
エピソード 4760: -3296.50
エピソード 4770: -2645.50
エピソード 4780: -3885.00
エピソード 4790: -2844.50
エピソード 4800: -2812.50
エピソード 4810: -3559.00
エピソード 4820: -5076.50
エピソード 4830: -3606.00
エピソード 4840: -5189.00
エピソード 4850: -3169.50
エピソード 4860: -2643.00
エピソード 4870: -3508.50
エピソード 4880: -3770.00
エピソード 4890: -4337.00
エピソード 4900: -3658.50
エピソード 4910: -3209.00
エピソード 4920: -5015.50
エピソード 4930: -3655.50
エピソード 4940: -4602.00
エピソード 4950: -3320.50
エピソード 4960: -3677.50
エピソード 4970: -1752.00
エピソード 4980: -2755.50
エピソード 4990: -4039.50
エピソード 5000: -5407.00
エピソード 5010: -3277.50
エピソード 5020: -4949.50
エピソード 5030: -4250.50
エピソード 5040: -4200.50
エピソード 5050: -4608.00
エピソード 5060: -3912.00
エピソード 5070: -3969.00
エピソード 5080: -3429.00
エピソード 5090: -1715.50
エピソード 5100: -4747.50
エピソード 5110: -3986.00
エピソード 5120: -4723.00
エピソード 5130: -2387.50
エピソード 5140: -5745.00
エピソード 5150: -3213.00
エピソード 5160: -3195.50
エピソード 5170: -4679.50
エピソード 5180: -2628.50
エピソード 5190: -3420.50
エピソード 5200: -5344.50
エピソード 5210: -4419.50
エピソード 5220: -5204.50
エピソード 5230: -5266.00
エピソード 5240: -2811.50
エピソード 5250: -4771.00
エピソード 5260: -5431.50
エピソード 5270: -2812.50
エピソード 5280: -2242.50
エピソード 5290: -4792.50
