# 強化学習モデル学習統計

学習日時: 2026年02月08日 22:11:58
学習エピソード数: 5000
最終平均報酬: 6488.13
Q-tableサイズ: 898 状態

## エピソードごとの報酬推移
エピソード 1: 7401.40
エピソード 10: 7448.50
エピソード 20: 3200.60
エピソード 30: 4792.50
エピソード 40: 4718.00
エピソード 50: 7554.60
エピソード 60: 7876.40
エピソード 70: 4484.80
エピソード 80: 9258.50
エピソード 90: 2813.50
エピソード 100: 3847.90
エピソード 110: 3878.10
エピソード 120: 3588.80
エピソード 130: 4845.10
エピソード 140: 2449.20
エピソード 150: 4052.20
エピソード 160: 9350.20
エピソード 170: 6512.00
エピソード 180: 2336.60
エピソード 190: 10270.50
エピソード 200: 10415.00
エピソード 210: 8797.80
エピソード 220: 2845.20
エピソード 230: 9084.60
エピソード 240: 7630.90
エピソード 250: 7718.30
エピソード 260: 9127.50
エピソード 270: 12184.50
エピソード 280: 8766.90
エピソード 290: 4246.00
エピソード 300: 5326.40
エピソード 310: 8610.90
エピソード 320: 8554.60
エピソード 330: 8806.80
エピソード 340: 11662.20
エピソード 350: 10661.40
エピソード 360: 9707.00
エピソード 370: 9680.20
エピソード 380: 10418.10
エピソード 390: 4852.10
エピソード 400: 7069.20
エピソード 410: 2776.80
エピソード 420: 2468.80
エピソード 430: 8215.00
エピソード 440: 5500.60
エピソード 450: 2587.40
エピソード 460: 2597.20
エピソード 470: 7120.30
エピソード 480: 6807.70
エピソード 490: 3828.60
エピソード 500: 11291.50
エピソード 510: 11098.60
エピソード 520: 6781.60
エピソード 530: 3796.80
エピソード 540: 3309.50
エピソード 550: 7402.80
エピソード 560: 3658.90
エピソード 570: 10812.50
エピソード 580: 8697.90
エピソード 590: 4272.00
エピソード 600: 3466.60
エピソード 610: 2905.30
エピソード 620: 8482.00
エピソード 630: 6319.50
エピソード 640: 5604.30
エピソード 650: 6724.90
エピソード 660: 3248.60
エピソード 670: 8483.60
エピソード 680: 5018.30
エピソード 690: 10400.00
エピソード 700: 3825.00
エピソード 710: 2527.90
エピソード 720: 5555.10
エピソード 730: 6201.70
エピソード 740: 2676.50
エピソード 750: 10130.70
エピソード 760: 3269.80
エピソード 770: 10642.00
エピソード 780: 11474.00
エピソード 790: 5966.40
エピソード 800: 9998.60
エピソード 810: 9062.60
エピソード 820: 9469.90
エピソード 830: 2329.10
エピソード 840: 3717.00
エピソード 850: 4047.80
エピソード 860: 9114.90
エピソード 870: 4033.00
エピソード 880: 3183.90
エピソード 890: 10508.80
エピソード 900: 2836.30
エピソード 910: 3645.60
エピソード 920: 10865.40
エピソード 930: 2722.00
エピソード 940: 3659.70
エピソード 950: 10965.40
エピソード 960: 5083.20
エピソード 970: 8610.20
エピソード 980: 7914.40
エピソード 990: 3867.80
エピソード 1000: 6034.80
エピソード 1010: 4806.40
エピソード 1020: 4460.40
エピソード 1030: 10111.10
エピソード 1040: 5261.80
エピソード 1050: 3025.40
エピソード 1060: 5206.10
エピソード 1070: 8631.70
エピソード 1080: 9188.50
エピソード 1090: 6962.60
エピソード 1100: 3421.00
エピソード 1110: 2734.50
エピソード 1120: 9281.50
エピソード 1130: 3823.90
エピソード 1140: 2303.60
エピソード 1150: 2371.30
エピソード 1160: 7858.50
エピソード 1170: 3101.10
エピソード 1180: 9105.60
エピソード 1190: 2427.90
エピソード 1200: 6198.00
エピソード 1210: 9742.50
エピソード 1220: 7162.80
エピソード 1230: 11775.40
エピソード 1240: 9990.20
エピソード 1250: 8537.90
エピソード 1260: 4479.60
エピソード 1270: 2661.50
エピソード 1280: 6024.30
エピソード 1290: 5019.60
エピソード 1300: 10530.30
エピソード 1310: 3096.50
エピソード 1320: 2670.70
エピソード 1330: 10243.20
エピソード 1340: 4462.30
エピソード 1350: 2288.40
エピソード 1360: 4043.60
エピソード 1370: 7486.50
エピソード 1380: 2557.30
エピソード 1390: 9270.00
エピソード 1400: 3419.50
エピソード 1410: 10166.10
エピソード 1420: 4124.60
エピソード 1430: 6946.80
エピソード 1440: 4846.10
エピソード 1450: 5247.10
エピソード 1460: 8077.10
エピソード 1470: 11559.70
エピソード 1480: 2652.40
エピソード 1490: 3063.60
エピソード 1500: 2904.00
エピソード 1510: 3642.30
エピソード 1520: 6573.70
エピソード 1530: 8148.70
エピソード 1540: 8971.60
エピソード 1550: 4420.90
エピソード 1560: 3096.80
エピソード 1570: 2880.00
エピソード 1580: 12501.80
エピソード 1590: 8550.50
エピソード 1600: 2860.90
エピソード 1610: 11124.60
エピソード 1620: 7889.50
エピソード 1630: 2475.20
エピソード 1640: 5859.30
エピソード 1650: 8227.70
エピソード 1660: 4055.60
エピソード 1670: 5450.00
エピソード 1680: 10309.00
エピソード 1690: 7986.40
エピソード 1700: 10450.20
エピソード 1710: 9790.10
エピソード 1720: 5336.60
エピソード 1730: 3016.60
エピソード 1740: 2599.60
エピソード 1750: 3179.70
エピソード 1760: 2331.10
エピソード 1770: 9692.80
エピソード 1780: 8336.70
エピソード 1790: 3567.70
エピソード 1800: 3442.30
エピソード 1810: 2445.50
エピソード 1820: 5598.00
エピソード 1830: 9019.90
エピソード 1840: 2391.40
エピソード 1850: 8560.80
エピソード 1860: 2918.50
エピソード 1870: 9843.60
エピソード 1880: 3011.30
エピソード 1890: 10308.20
エピソード 1900: 10041.00
エピソード 1910: 7682.00
エピソード 1920: 5329.30
エピソード 1930: 9843.50
エピソード 1940: 2456.50
エピソード 1950: 4465.60
エピソード 1960: 4332.00
エピソード 1970: 2609.00
エピソード 1980: 8734.90
エピソード 1990: 4269.40
エピソード 2000: 2331.80
エピソード 2010: 8693.80
エピソード 2020: 10775.40
エピソード 2030: 12425.20
エピソード 2040: 3076.60
エピソード 2050: 3895.30
エピソード 2060: 2967.30
エピソード 2070: 7143.70
エピソード 2080: 2761.90
エピソード 2090: 2582.40
エピソード 2100: 5904.90
エピソード 2110: 3737.50
エピソード 2120: 11408.10
エピソード 2130: 2781.30
エピソード 2140: 3104.50
エピソード 2150: 4037.20
エピソード 2160: 5219.40
エピソード 2170: 3607.40
エピソード 2180: 11621.10
エピソード 2190: 2531.40
エピソード 2200: 11073.70
エピソード 2210: 8999.10
エピソード 2220: 6766.10
エピソード 2230: 2124.20
エピソード 2240: 2596.00
エピソード 2250: 8047.30
エピソード 2260: 9236.20
エピソード 2270: 6635.00
エピソード 2280: 2568.60
エピソード 2290: 6490.60
エピソード 2300: 5512.80
エピソード 2310: 9654.00
エピソード 2320: 3182.30
エピソード 2330: 9095.30
エピソード 2340: 2232.00
エピソード 2350: 5925.30
エピソード 2360: 11234.00
エピソード 2370: 3087.60
エピソード 2380: 10029.00
エピソード 2390: 3024.70
エピソード 2400: 13142.50
エピソード 2410: 4027.00
エピソード 2420: 2857.20
エピソード 2430: 8584.80
エピソード 2440: 2647.60
エピソード 2450: 4957.00
エピソード 2460: 9150.80
エピソード 2470: 7933.50
エピソード 2480: 3004.90
エピソード 2490: 11687.10
エピソード 2500: 3704.10
エピソード 2510: 3232.00
エピソード 2520: 3636.70
エピソード 2530: 11065.00
エピソード 2540: 3320.70
エピソード 2550: 8766.00
エピソード 2560: 7091.30
エピソード 2570: 4784.50
エピソード 2580: 7919.30
エピソード 2590: 7957.10
エピソード 2600: 5887.60
エピソード 2610: 7943.20
エピソード 2620: 4381.40
エピソード 2630: 8583.60
エピソード 2640: 3727.40
エピソード 2650: 3272.40
エピソード 2660: 2162.50
エピソード 2670: 3987.90
エピソード 2680: 3118.10
エピソード 2690: 7703.30
エピソード 2700: 6177.20
エピソード 2710: 2618.30
エピソード 2720: 8002.70
エピソード 2730: 7596.50
エピソード 2740: 3395.20
エピソード 2750: 9398.10
エピソード 2760: 9126.40
エピソード 2770: 3264.00
エピソード 2780: 10096.30
エピソード 2790: 3250.30
エピソード 2800: 8260.50
エピソード 2810: 6953.60
エピソード 2820: 7108.50
エピソード 2830: 9490.30
エピソード 2840: 6439.00
エピソード 2850: 8293.50
エピソード 2860: 2942.00
エピソード 2870: 6480.70
エピソード 2880: 3269.20
エピソード 2890: 8810.60
エピソード 2900: 2512.80
エピソード 2910: 11463.50
エピソード 2920: 3731.60
エピソード 2930: 9631.50
エピソード 2940: 3241.80
エピソード 2950: 2962.60
エピソード 2960: 7910.90
エピソード 2970: 8386.80
エピソード 2980: 9401.70
エピソード 2990: 11997.60
エピソード 3000: 11759.00
エピソード 3010: 6129.60
エピソード 3020: 6371.20
エピソード 3030: 2439.60
エピソード 3040: 9038.90
エピソード 3050: 4328.20
エピソード 3060: 3935.30
エピソード 3070: 3810.50
エピソード 3080: 2635.60
エピソード 3090: 3833.70
エピソード 3100: 5169.60
エピソード 3110: 9395.20
エピソード 3120: 11212.40
エピソード 3130: 6153.60
エピソード 3140: 6993.30
エピソード 3150: 9508.40
エピソード 3160: 11606.40
エピソード 3170: 12230.20
エピソード 3180: 3653.40
エピソード 3190: 6171.80
エピソード 3200: 6519.00
エピソード 3210: 4579.70
エピソード 3220: 11135.10
エピソード 3230: 11591.90
エピソード 3240: 2491.50
エピソード 3250: 9037.10
エピソード 3260: 9243.60
エピソード 3270: 4776.60
エピソード 3280: 2927.00
エピソード 3290: 4110.30
エピソード 3300: 4157.90
エピソード 3310: 13206.00
エピソード 3320: 2454.00
