# 強化学習モデル学習統計

学習日時: 2026年02月09日 07:59:14
学習エピソード数: 10000
最終平均報酬: -3695.03
Q-tableサイズ: 149 状態

## エピソードごとの報酬推移
エピソード 1: -5953.20
エピソード 10: -720.20
エピソード 20: -3603.50
エピソード 30: -1922.80
エピソード 40: -5879.20
エピソード 50: -2339.40
エピソード 60: -2864.50
エピソード 70: -6336.20
エピソード 80: -2630.60
エピソード 90: -3770.10
エピソード 100: -5312.60
エピソード 110: -4502.70
エピソード 120: -6224.50
エピソード 130: -1285.20
エピソード 140: -4081.40
エピソード 150: -5909.70
エピソード 160: -3435.80
エピソード 170: -4219.00
エピソード 180: -4268.90
エピソード 190: -2161.10
エピソード 200: -5966.30
エピソード 210: -3748.30
エピソード 220: -2360.20
エピソード 230: -5564.40
エピソード 240: -2059.60
エピソード 250: -6651.60
エピソード 260: -4291.10
エピソード 270: -5262.60
エピソード 280: -6403.10
エピソード 290: -1390.40
エピソード 300: -6035.40
エピソード 310: -5071.00
エピソード 320: -2649.70
エピソード 330: -6485.50
エピソード 340: -4192.10
エピソード 350: -1864.40
エピソード 360: -3499.60
エピソード 370: -5867.50
エピソード 380: -6518.50
エピソード 390: -2413.20
エピソード 400: -5081.00
エピソード 410: -1719.60
エピソード 420: -4988.10
エピソード 430: -6077.40
エピソード 440: -3309.50
エピソード 450: -2228.50
エピソード 460: -667.00
エピソード 470: -5563.60
エピソード 480: -4370.60
エピソード 490: -6585.00
エピソード 500: -5598.50
エピソード 510: -2093.00
エピソード 520: -5642.70
エピソード 530: -6496.70
エピソード 540: -5848.40
エピソード 550: -1969.60
エピソード 560: -2578.00
エピソード 570: -5302.00
エピソード 580: -826.80
エピソード 590: -1912.60
エピソード 600: -1811.40
エピソード 610: -3748.50
エピソード 620: -5895.80
エピソード 630: -1949.80
エピソード 640: -5355.80
エピソード 650: -2523.00
エピソード 660: -1555.60
エピソード 670: -2206.00
エピソード 680: -4301.40
エピソード 690: -5203.90
エピソード 700: -1793.70
エピソード 710: -2065.10
エピソード 720: -1649.30
エピソード 730: -2182.60
エピソード 740: -4685.50
エピソード 750: -1866.80
エピソード 760: -1704.60
エピソード 770: -3981.20
エピソード 780: -2047.60
エピソード 790: -5610.60
エピソード 800: -3803.70
エピソード 810: -3930.70
エピソード 820: -4932.50
エピソード 830: -4602.20
エピソード 840: -1307.20
エピソード 850: -5280.40
エピソード 860: -6109.90
エピソード 870: -5942.40
エピソード 880: -2318.30
エピソード 890: -5005.50
エピソード 900: -3915.10
エピソード 910: -4214.40
エピソード 920: -5814.20
エピソード 930: -1484.20
エピソード 940: -5838.80
エピソード 950: -1561.60
エピソード 960: -725.80
エピソード 970: -3.70
エピソード 980: -1424.80
エピソード 990: -6704.20
エピソード 1000: -6323.00
エピソード 1010: -2097.90
エピソード 1020: -2445.70
エピソード 1030: -5379.90
エピソード 1040: -2819.20
エピソード 1050: -5989.00
エピソード 1060: -5287.70
エピソード 1070: -1477.30
エピソード 1080: -5251.00
エピソード 1090: -5968.10
エピソード 1100: -2987.10
エピソード 1110: -6585.30
エピソード 1120: -4880.80
エピソード 1130: -2130.30
エピソード 1140: -2023.50
エピソード 1150: -4978.30
エピソード 1160: -4765.60
エピソード 1170: -6221.30
エピソード 1180: -2589.30
エピソード 1190: -1217.50
エピソード 1200: -4202.70
エピソード 1210: -3401.00
エピソード 1220: -5735.40
エピソード 1230: -4201.60
エピソード 1240: -2177.90
エピソード 1250: -1783.20
エピソード 1260: -5574.30
エピソード 1270: -2068.70
エピソード 1280: -1491.60
エピソード 1290: 873.30
エピソード 1300: -4981.70
エピソード 1310: -4103.10
エピソード 1320: -6036.30
エピソード 1330: -800.20
エピソード 1340: -6836.40
エピソード 1350: -4298.90
エピソード 1360: -3389.30
エピソード 1370: -1773.20
エピソード 1380: -3626.40
エピソード 1390: -1582.30
エピソード 1400: -2513.70
エピソード 1410: -2731.00
エピソード 1420: -5651.30
エピソード 1430: -2583.30
エピソード 1440: -3200.30
エピソード 1450: -1781.70
エピソード 1460: -1239.30
エピソード 1470: -2395.80
エピソード 1480: -5619.40
エピソード 1490: -2783.20
エピソード 1500: -2916.70
エピソード 1510: -5743.20
エピソード 1520: 54.90
エピソード 1530: -2079.40
エピソード 1540: -769.10
エピソード 1550: -429.50
エピソード 1560: -5394.90
エピソード 1570: -6451.20
エピソード 1580: -4911.00
エピソード 1590: -2221.30
エピソード 1600: -6658.80
エピソード 1610: -6248.70
エピソード 1620: -688.20
エピソード 1630: -1482.40
エピソード 1640: -6284.10
エピソード 1650: -2752.90
エピソード 1660: -5974.50
エピソード 1670: -4085.00
エピソード 1680: -5608.40
エピソード 1690: 313.20
エピソード 1700: -5359.10
エピソード 1710: -1758.20
エピソード 1720: -3679.40
エピソード 1730: -6086.80
エピソード 1740: -5256.70
エピソード 1750: -6351.90
エピソード 1760: -1685.20
エピソード 1770: -4897.10
エピソード 1780: -1548.20
エピソード 1790: -2518.00
エピソード 1800: -6376.50
エピソード 1810: -768.00
エピソード 1820: -5361.30
エピソード 1830: -1936.30
エピソード 1840: -6281.90
エピソード 1850: -1833.00
エピソード 1860: -4552.80
エピソード 1870: -5888.50
エピソード 1880: -3343.40
エピソード 1890: -4485.30
エピソード 1900: -1332.90
エピソード 1910: -3548.30
エピソード 1920: -5075.50
エピソード 1930: -4384.60
エピソード 1940: -5623.20
エピソード 1950: -5360.60
エピソード 1960: -2457.90
エピソード 1970: -6209.30
エピソード 1980: -2718.40
エピソード 1990: -4610.10
エピソード 2000: -1494.40
エピソード 2010: -5232.00
エピソード 2020: -15.40
エピソード 2030: -4262.40
エピソード 2040: -4831.60
エピソード 2050: -1327.20
エピソード 2060: -2540.90
エピソード 2070: -2490.60
エピソード 2080: -2618.90
エピソード 2090: -2532.90
エピソード 2100: -6064.20
エピソード 2110: -6000.30
エピソード 2120: -1790.90
エピソード 2130: -3149.30
エピソード 2140: -780.90
エピソード 2150: -6192.10
エピソード 2160: -3527.90
エピソード 2170: -2876.70
エピソード 2180: -300.50
エピソード 2190: -1870.00
エピソード 2200: -6559.10
エピソード 2210: -875.70
エピソード 2220: -3439.30
エピソード 2230: -1243.20
エピソード 2240: -3750.80
エピソード 2250: -2844.60
エピソード 2260: -3480.60
エピソード 2270: -5863.30
エピソード 2280: -2771.10
エピソード 2290: -5495.70
エピソード 2300: -6088.00
エピソード 2310: -1193.80
エピソード 2320: -2300.60
エピソード 2330: -2909.60
エピソード 2340: -4678.30
エピソード 2350: -1758.20
エピソード 2360: -6183.50
エピソード 2370: -4420.60
エピソード 2380: -2769.90
エピソード 2390: -1107.30
エピソード 2400: -2076.40
エピソード 2410: -5014.00
エピソード 2420: -6257.90
エピソード 2430: -1879.50
エピソード 2440: -4615.20
エピソード 2450: -2345.10
エピソード 2460: -518.30
エピソード 2470: -502.60
エピソード 2480: -1474.50
エピソード 2490: -6223.40
エピソード 2500: -2428.40
エピソード 2510: -1013.60
エピソード 2520: -5122.40
エピソード 2530: -3789.80
エピソード 2540: -6267.80
エピソード 2550: -4398.70
エピソード 2560: -4366.90
エピソード 2570: -425.50
エピソード 2580: -5389.80
エピソード 2590: -5401.10
エピソード 2600: -5022.80
エピソード 2610: -5844.10
エピソード 2620: -1870.00
エピソード 2630: -4217.30
エピソード 2640: -3563.60
エピソード 2650: -6261.00
エピソード 2660: -2220.50
エピソード 2670: -1495.50
エピソード 2680: -4919.40
エピソード 2690: -1359.30
エピソード 2700: -1612.90
エピソード 2710: -2132.90
エピソード 2720: -1346.30
エピソード 2730: -681.00
エピソード 2740: -4987.80
エピソード 2750: -6266.50
エピソード 2760: -3053.20
エピソード 2770: -3624.70
エピソード 2780: -4366.90
エピソード 2790: -943.70
エピソード 2800: -5445.40
エピソード 2810: -970.60
エピソード 2820: -1338.80
エピソード 2830: -1641.10
エピソード 2840: -5394.70
エピソード 2850: -2667.40
エピソード 2860: -1705.90
エピソード 2870: -3236.60
エピソード 2880: -2538.00
エピソード 2890: -2082.40
エピソード 2900: -3038.50
エピソード 2910: -4636.90
エピソード 2920: -6211.20
エピソード 2930: -6938.80
エピソード 2940: -5397.90
エピソード 2950: -2280.10
エピソード 2960: -2985.60
エピソード 2970: -3674.90
エピソード 2980: -6030.80
エピソード 2990: -2315.20
エピソード 3000: -5886.20
エピソード 3010: -5688.50
エピソード 3020: -6408.50
エピソード 3030: -5365.70
エピソード 3040: -3009.30
エピソード 3050: -3429.60
エピソード 3060: -5323.10
エピソード 3070: -570.80
エピソード 3080: -6204.20
エピソード 3090: -1972.60
エピソード 3100: -2371.20
エピソード 3110: -3885.10
エピソード 3120: -4927.20
エピソード 3130: -720.70
エピソード 3140: -5586.30
エピソード 3150: -3843.80
エピソード 3160: -1618.50
エピソード 3170: -3242.30
エピソード 3180: -865.70
エピソード 3190: -6064.10
エピソード 3200: -5168.50
エピソード 3210: -3126.30
エピソード 3220: -2960.80
エピソード 3230: -5320.70
エピソード 3240: -332.60
エピソード 3250: -1766.80
エピソード 3260: -3017.90
エピソード 3270: -2119.90
エピソード 3280: -417.30
エピソード 3290: -3045.30
エピソード 3300: -2186.90
エピソード 3310: -2481.60
エピソード 3320: -1585.30
エピソード 3330: -567.10
エピソード 3340: -2415.70
エピソード 3350: -5635.30
エピソード 3360: -1624.30
エピソード 3370: -2632.30
エピソード 3380: -2251.50
エピソード 3390: -5787.50
エピソード 3400: -4419.20
エピソード 3410: -6197.60
エピソード 3420: -6401.30
エピソード 3430: -6271.50
エピソード 3440: -573.30
エピソード 3450: -6585.20
エピソード 3460: -5656.80
エピソード 3470: -1918.30
エピソード 3480: -3778.40
エピソード 3490: -5741.20
エピソード 3500: -2555.70
エピソード 3510: -1481.90
エピソード 3520: -5627.10
エピソード 3530: -3884.90
エピソード 3540: -4120.00
エピソード 3550: -1840.30
エピソード 3560: -828.90
エピソード 3570: -4528.70
エピソード 3580: -1670.00
エピソード 3590: -796.10
エピソード 3600: -6078.70
エピソード 3610: -2725.80
エピソード 3620: -2601.00
エピソード 3630: -2490.40
エピソード 3640: -2699.80
エピソード 3650: -1995.50
エピソード 3660: -3792.70
エピソード 3670: -2202.60
エピソード 3680: -285.50
エピソード 3690: -4624.30
エピソード 3700: -3359.40
エピソード 3710: -2356.60
エピソード 3720: -2190.50
エピソード 3730: -627.80
エピソード 3740: -6429.30
エピソード 3750: -1916.20
エピソード 3760: -4557.20
エピソード 3770: -6347.80
エピソード 3780: -2011.60
エピソード 3790: -3402.10
エピソード 3800: -4000.80
エピソード 3810: -2716.60
エピソード 3820: -3309.60
エピソード 3830: -2889.10
エピソード 3840: -346.90
エピソード 3850: -2024.10
エピソード 3860: -6737.40
エピソード 3870: -4321.10
エピソード 3880: -2281.80
エピソード 3890: -6018.80
エピソード 3900: -2194.90
エピソード 3910: -3695.70
エピソード 3920: -802.50
エピソード 3930: -2822.40
エピソード 3940: -4887.40
エピソード 3950: -1239.30
エピソード 3960: -3060.90
エピソード 3970: -5535.70
エピソード 3980: -2560.70
エピソード 3990: -1889.30
エピソード 4000: -5773.40
エピソード 4010: -4796.70
エピソード 4020: -5100.90
エピソード 4030: -1363.60
エピソード 4040: -4462.30
エピソード 4050: -2102.40
エピソード 4060: -3555.20
エピソード 4070: -3419.70
エピソード 4080: -5028.90
エピソード 4090: -5330.80
エピソード 4100: -1540.60
エピソード 4110: -1397.50
エピソード 4120: -2584.10
エピソード 4130: -5517.90
エピソード 4140: -2477.70
エピソード 4150: -5558.70
エピソード 4160: -1324.20
エピソード 4170: -2633.00
エピソード 4180: -6418.60
エピソード 4190: -1858.10
エピソード 4200: -4345.20
エピソード 4210: -3749.60
エピソード 4220: -5942.20
エピソード 4230: -881.70
エピソード 4240: -5372.00
エピソード 4250: -5021.60
エピソード 4260: -2062.20
エピソード 4270: -2184.10
エピソード 4280: -3764.10
エピソード 4290: -2033.10
エピソード 4300: -1109.80
エピソード 4310: -1282.90
エピソード 4320: -4958.50
エピソード 4330: -753.90
エピソード 4340: -1343.00
エピソード 4350: -6036.20
エピソード 4360: -6076.10
エピソード 4370: -3179.90
エピソード 4380: -4717.20
エピソード 4390: -3474.30
エピソード 4400: -1904.50
エピソード 4410: -1707.70
エピソード 4420: -1865.00
エピソード 4430: -2647.90
エピソード 4440: -1255.40
エピソード 4450: -6378.80
エピソード 4460: -2010.90
エピソード 4470: -4915.00
エピソード 4480: -5989.90
エピソード 4490: -5827.70
エピソード 4500: -6764.40
エピソード 4510: -5888.00
エピソード 4520: -5064.10
エピソード 4530: -4811.50
エピソード 4540: -4081.60
エピソード 4550: -3173.00
エピソード 4560: -6277.70
エピソード 4570: -3270.50
エピソード 4580: -1064.10
エピソード 4590: -1501.70
エピソード 4600: -5498.60
エピソード 4610: -2063.00
エピソード 4620: -6440.90
エピソード 4630: -833.80
エピソード 4640: -2562.50
エピソード 4650: -1090.70
エピソード 4660: -1791.20
エピソード 4670: -1326.50
エピソード 4680: -3930.90
エピソード 4690: -3033.10
エピソード 4700: -2467.30
エピソード 4710: -6051.10
エピソード 4720: -1817.70
エピソード 4730: -5512.90
エピソード 4740: -2833.50
エピソード 4750: -6269.20
エピソード 4760: -2141.90
エピソード 4770: -3690.80
エピソード 4780: -2098.70
エピソード 4790: -2636.70
エピソード 4800: -2646.10
エピソード 4810: -1997.80
エピソード 4820: -5480.20
エピソード 4830: -2281.50
エピソード 4840: -6239.30
エピソード 4850: -2043.30
エピソード 4860: -1311.60
エピソード 4870: -1296.90
エピソード 4880: -1265.70
エピソード 4890: -3058.30
エピソード 4900: -2681.60
エピソード 4910: -3957.80
エピソード 4920: -1490.70
エピソード 4930: -1897.20
エピソード 4940: -2319.80
エピソード 4950: -3673.40
エピソード 4960: -3925.70
エピソード 4970: -2102.20
エピソード 4980: -3937.50
エピソード 4990: -3086.40
エピソード 5000: -5737.60
エピソード 5010: -975.40
エピソード 5020: -3050.10
エピソード 5030: -3109.80
エピソード 5040: -2147.00
エピソード 5050: -4136.30
エピソード 5060: -1700.60
エピソード 5070: -5529.80
エピソード 5080: -4283.40
エピソード 5090: -2494.40
エピソード 5100: -5621.30
エピソード 5110: -2531.50
エピソード 5120: -1477.10
エピソード 5130: -723.00
エピソード 5140: -6403.80
エピソード 5150: -3069.50
エピソード 5160: -4803.80
エピソード 5170: -5228.00
エピソード 5180: -1774.10
エピソード 5190: -189.00
エピソード 5200: -6197.90
エピソード 5210: -5675.10
エピソード 5220: -6623.40
エピソード 5230: -5783.90
エピソード 5240: -4405.90
エピソード 5250: -3858.50
エピソード 5260: -5811.10
エピソード 5270: -5040.60
エピソード 5280: -1580.50
エピソード 5290: -5212.00
エピソード 5300: -5557.50
エピソード 5310: -293.50
エピソード 5320: -1561.80
エピソード 5330: -1466.20
エピソード 5340: -6214.70
エピソード 5350: -1683.40
エピソード 5360: -3717.50
エピソード 5370: -1016.40
エピソード 5380: -2567.00
エピソード 5390: -1226.00
エピソード 5400: -1326.90
エピソード 5410: -2305.00
エピソード 5420: -3014.90
エピソード 5430: -4650.60
エピソード 5440: -4388.10
エピソード 5450: -2021.10
エピソード 5460: -3021.90
エピソード 5470: -3677.10
エピソード 5480: -6280.50
エピソード 5490: -3621.80
エピソード 5500: -6176.40
エピソード 5510: -290.40
エピソード 5520: -6253.60
エピソード 5530: -4328.20
エピソード 5540: -1830.30
エピソード 5550: -2042.30
エピソード 5560: -5307.30
エピソード 5570: -6384.70
エピソード 5580: -1963.00
エピソード 5590: -6516.10
エピソード 5600: -5952.10
エピソード 5610: -5550.50
エピソード 5620: -4074.80
エピソード 5630: -1031.60
エピソード 5640: -4259.40
エピソード 5650: -5563.70
エピソード 5660: -4471.10
エピソード 5670: -2313.90
エピソード 5680: -3415.10
エピソード 5690: -1541.60
