# 強化学習モデル学習統計

学習日時: 2026年02月09日 07:51:18
学習エピソード数: 10000
最終平均報酬: -3588.57
Q-tableサイズ: 151 状態

## エピソードごとの報酬推移
エピソード 1: -5110.10
エピソード 10: -6672.40
エピソード 20: -1292.50
エピソード 30: -6159.50
エピソード 40: -1207.50
エピソード 50: -6318.70
エピソード 60: -1956.30
エピソード 70: -3654.20
エピソード 80: -6098.30
エピソード 90: -2659.60
エピソード 100: -4578.30
エピソード 110: -6125.10
エピソード 120: -5789.20
エピソード 130: -2448.00
エピソード 140: -3450.80
エピソード 150: -3084.10
エピソード 160: -1488.00
エピソード 170: -6325.30
エピソード 180: -3731.40
エピソード 190: -3222.00
エピソード 200: -4737.60
エピソード 210: -2370.10
エピソード 220: -5325.30
エピソード 230: -3249.20
エピソード 240: -2493.20
エピソード 250: -5642.10
エピソード 260: -1011.20
エピソード 270: -3964.60
エピソード 280: -393.40
エピソード 290: -6299.70
エピソード 300: -6069.10
エピソード 310: -5606.10
エピソード 320: -1866.90
エピソード 330: -2952.00
エピソード 340: -410.00
エピソード 350: -1720.90
エピソード 360: -2247.60
エピソード 370: -3661.30
エピソード 380: -1366.50
エピソード 390: -1426.00
エピソード 400: -2248.10
エピソード 410: -3463.10
エピソード 420: -5917.60
エピソード 430: -2288.90
エピソード 440: -1135.00
エピソード 450: -4468.70
エピソード 460: -5664.50
エピソード 470: -5289.90
エピソード 480: -6289.10
エピソード 490: -3018.30
エピソード 500: -2392.50
エピソード 510: -2188.20
エピソード 520: -5917.50
エピソード 530: -5752.40
エピソード 540: -2131.90
エピソード 550: -6160.30
エピソード 560: -1890.50
エピソード 570: -1566.80
エピソード 580: -5177.10
エピソード 590: -5158.10
エピソード 600: -6212.20
エピソード 610: -3644.80
エピソード 620: -2911.10
エピソード 630: -2701.80
エピソード 640: -2593.60
エピソード 650: -5798.10
エピソード 660: -2211.90
エピソード 670: -2419.30
エピソード 680: -5759.90
エピソード 690: -2676.10
エピソード 700: -4351.30
エピソード 710: -6163.50
エピソード 720: -4158.50
エピソード 730: -5985.00
エピソード 740: -2288.40
エピソード 750: -1592.80
エピソード 760: -5267.70
エピソード 770: -4201.30
エピソード 780: -5837.90
エピソード 790: -3857.10
エピソード 800: -3755.10
エピソード 810: -6261.70
エピソード 820: -2213.50
エピソード 830: -5997.30
エピソード 840: -3242.50
エピソード 850: -2202.30
エピソード 860: -2921.90
エピソード 870: -1383.40
エピソード 880: -5249.00
エピソード 890: -4518.70
エピソード 900: -5499.10
エピソード 910: -5696.20
エピソード 920: -4783.10
エピソード 930: -1735.60
エピソード 940: -3240.30
エピソード 950: -5099.80
エピソード 960: -3051.30
エピソード 970: -1506.00
エピソード 980: -6164.50
エピソード 990: -5788.30
エピソード 1000: -6531.90
エピソード 1010: -3310.00
エピソード 1020: -2854.20
エピソード 1030: -2117.20
エピソード 1040: -5751.00
エピソード 1050: -4263.30
エピソード 1060: -4320.70
エピソード 1070: -3892.50
エピソード 1080: -1973.30
エピソード 1090: -1748.00
エピソード 1100: -817.30
エピソード 1110: -1381.30
エピソード 1120: -1307.00
エピソード 1130: -1777.00
エピソード 1140: -5564.20
エピソード 1150: -5938.60
エピソード 1160: -1784.50
エピソード 1170: -3505.40
エピソード 1180: -5932.70
エピソード 1190: -6300.00
エピソード 1200: -5796.70
エピソード 1210: -5538.10
エピソード 1220: -3501.40
エピソード 1230: -1183.20
エピソード 1240: -2802.10
エピソード 1250: -6240.50
エピソード 1260: -6533.70
エピソード 1270: -6078.30
エピソード 1280: -6552.40
エピソード 1290: -4844.60
エピソード 1300: -4948.10
エピソード 1310: -549.40
エピソード 1320: -6444.10
エピソード 1330: -5561.40
エピソード 1340: -1323.80
エピソード 1350: -6100.30
エピソード 1360: -3775.10
エピソード 1370: -4392.60
エピソード 1380: -2390.80
エピソード 1390: -1705.70
エピソード 1400: -1787.20
エピソード 1410: -2525.50
エピソード 1420: -3909.00
エピソード 1430: -4652.20
エピソード 1440: -1785.40
エピソード 1450: -3098.60
エピソード 1460: -4446.60
エピソード 1470: -6104.70
エピソード 1480: -5096.70
エピソード 1490: -2836.80
エピソード 1500: -3772.20
エピソード 1510: -1718.40
エピソード 1520: -6070.30
エピソード 1530: -2005.40
エピソード 1540: -1837.40
エピソード 1550: -5937.90
エピソード 1560: -5760.70
エピソード 1570: -4262.80
エピソード 1580: -6005.60
エピソード 1590: -1498.60
エピソード 1600: -1615.60
エピソード 1610: -4439.20
エピソード 1620: -4937.20
エピソード 1630: -943.30
エピソード 1640: -6479.50
エピソード 1650: -6160.60
エピソード 1660: -2828.00
エピソード 1670: -6603.10
エピソード 1680: -5795.30
エピソード 1690: -1581.30
エピソード 1700: -3823.70
エピソード 1710: -5991.10
エピソード 1720: -5686.90
エピソード 1730: -5833.20
エピソード 1740: -5866.30
エピソード 1750: -2256.20
エピソード 1760: -1435.30
エピソード 1770: -3384.80
エピソード 1780: -6488.40
エピソード 1790: -1826.00
エピソード 1800: -1111.10
エピソード 1810: -5178.30
エピソード 1820: -2240.70
エピソード 1830: -5532.30
エピソード 1840: -5714.50
エピソード 1850: -1190.00
エピソード 1860: -1933.00
エピソード 1870: -4612.30
エピソード 1880: -2449.40
エピソード 1890: -1573.50
エピソード 1900: -4093.50
エピソード 1910: -1511.90
エピソード 1920: -1598.40
エピソード 1930: -1963.60
エピソード 1940: -1833.80
エピソード 1950: -6775.80
エピソード 1960: -4859.30
エピソード 1970: -2897.60
エピソード 1980: -3683.90
エピソード 1990: -4292.10
エピソード 2000: -3709.50
エピソード 2010: -3718.90
エピソード 2020: -3375.40
エピソード 2030: -2090.10
エピソード 2040: -4725.00
エピソード 2050: -2718.70
エピソード 2060: -2217.50
エピソード 2070: -4970.70
エピソード 2080: -2703.60
エピソード 2090: -1349.20
エピソード 2100: -3025.80
エピソード 2110: -4705.40
エピソード 2120: -1725.80
エピソード 2130: -699.90
エピソード 2140: -6537.00
エピソード 2150: -3589.80
エピソード 2160: -2145.30
エピソード 2170: -2428.00
エピソード 2180: -4702.00
エピソード 2190: -1565.20
エピソード 2200: -6025.90
エピソード 2210: -2563.00
エピソード 2220: -1659.20
エピソード 2230: -2425.00
エピソード 2240: 67.90
エピソード 2250: -6155.80
エピソード 2260: -3775.40
エピソード 2270: -6094.10
エピソード 2280: -5970.00
エピソード 2290: -3971.00
エピソード 2300: -2419.60
エピソード 2310: -2663.50
エピソード 2320: -1937.30
エピソード 2330: -5988.10
エピソード 2340: -5384.80
エピソード 2350: -3751.20
エピソード 2360: -2465.10
エピソード 2370: -2080.60
エピソード 2380: -2313.30
エピソード 2390: -2452.10
エピソード 2400: -4346.30
エピソード 2410: -2170.40
エピソード 2420: -966.40
エピソード 2430: -6208.50
エピソード 2440: -6196.40
エピソード 2450: -1528.80
エピソード 2460: -2797.70
エピソード 2470: -3731.50
エピソード 2480: -1857.00
エピソード 2490: -714.40
エピソード 2500: -2905.10
エピソード 2510: -6243.30
エピソード 2520: -6140.50
エピソード 2530: -737.80
エピソード 2540: -1843.60
エピソード 2550: -6299.50
エピソード 2560: -4720.10
エピソード 2570: -5552.10
エピソード 2580: -6082.70
エピソード 2590: -6769.60
エピソード 2600: -1934.30
エピソード 2610: -938.90
エピソード 2620: -1445.70
エピソード 2630: -2674.40
エピソード 2640: -1569.70
エピソード 2650: -6043.00
エピソード 2660: -1082.60
エピソード 2670: -3309.30
エピソード 2680: -2358.90
エピソード 2690: -5851.90
エピソード 2700: -3158.90
エピソード 2710: -5845.80
エピソード 2720: -3595.10
エピソード 2730: -3489.50
エピソード 2740: -6726.00
エピソード 2750: -1481.10
エピソード 2760: -1110.90
エピソード 2770: -1609.00
エピソード 2780: -4843.40
エピソード 2790: -6042.00
エピソード 2800: -4020.00
エピソード 2810: -1687.60
エピソード 2820: -3337.20
エピソード 2830: -1900.10
エピソード 2840: -2017.70
エピソード 2850: -4132.60
エピソード 2860: -4955.60
エピソード 2870: -1121.00
エピソード 2880: -2473.00
エピソード 2890: -5331.90
エピソード 2900: -6302.10
エピソード 2910: -7062.50
エピソード 2920: -2194.90
エピソード 2930: -2409.40
エピソード 2940: -2295.50
エピソード 2950: -5894.60
エピソード 2960: -5104.30
エピソード 2970: -5083.70
エピソード 2980: -2198.30
エピソード 2990: -1834.40
エピソード 3000: -5040.60
エピソード 3010: -5856.70
エピソード 3020: -1287.40
エピソード 3030: -3146.60
エピソード 3040: -1917.70
エピソード 3050: -3843.40
エピソード 3060: -6000.30
エピソード 3070: -1045.70
エピソード 3080: -5969.40
エピソード 3090: -5196.40
エピソード 3100: -4520.00
エピソード 3110: -6103.40
エピソード 3120: -1540.20
エピソード 3130: -2230.40
エピソード 3140: -2046.60
エピソード 3150: -5197.10
エピソード 3160: -4030.30
エピソード 3170: -5698.70
エピソード 3180: -6149.10
エピソード 3190: -5859.40
エピソード 3200: -2844.80
エピソード 3210: 56.00
エピソード 3220: -5774.00
エピソード 3230: -2459.00
エピソード 3240: -2986.20
エピソード 3250: -2902.80
エピソード 3260: -6623.80
エピソード 3270: -5936.00
エピソード 3280: -6400.70
エピソード 3290: -5528.90
エピソード 3300: -6434.70
エピソード 3310: -822.60
エピソード 3320: -1786.40
エピソード 3330: -1987.10
エピソード 3340: -3100.00
エピソード 3350: -1367.60
エピソード 3360: -1200.50
エピソード 3370: -5951.00
エピソード 3380: -2640.00
エピソード 3390: -1297.30
エピソード 3400: -2475.90
エピソード 3410: -5847.10
エピソード 3420: -3720.70
エピソード 3430: -1717.60
エピソード 3440: -2394.10
エピソード 3450: -5641.50
エピソード 3460: -928.40
エピソード 3470: -3547.00
エピソード 3480: -2441.20
エピソード 3490: -6360.60
エピソード 3500: -3096.70
エピソード 3510: -3486.80
エピソード 3520: -1713.20
エピソード 3530: -2388.40
エピソード 3540: -3485.20
エピソード 3550: -1493.00
エピソード 3560: -3757.60
エピソード 3570: -2138.70
エピソード 3580: -5438.50
エピソード 3590: -1150.90
エピソード 3600: -6194.30
エピソード 3610: -6076.80
エピソード 3620: -6041.70
エピソード 3630: -2991.00
エピソード 3640: -6386.30
エピソード 3650: -5011.90
エピソード 3660: -3153.30
エピソード 3670: -4621.70
エピソード 3680: -5539.80
エピソード 3690: -495.70
エピソード 3700: -6677.80
エピソード 3710: -6664.10
エピソード 3720: -2476.70
エピソード 3730: -6950.80
エピソード 3740: -6536.90
エピソード 3750: -6257.50
エピソード 3760: -2067.50
エピソード 3770: -2669.20
エピソード 3780: -2867.30
エピソード 3790: -1526.50
エピソード 3800: -4313.40
エピソード 3810: -3207.80
エピソード 3820: -4656.90
エピソード 3830: -6199.40
エピソード 3840: -5746.50
エピソード 3850: -5474.20
エピソード 3860: -5007.30
エピソード 3870: -1547.20
エピソード 3880: -1544.00
エピソード 3890: -5960.40
エピソード 3900: -3178.00
エピソード 3910: -2813.00
エピソード 3920: -1457.90
エピソード 3930: -77.20
エピソード 3940: -1416.70
エピソード 3950: -1716.10
エピソード 3960: -1374.60
エピソード 3970: -3933.90
エピソード 3980: -490.40
エピソード 3990: -6220.40
エピソード 4000: -668.70
エピソード 4010: -4144.40
エピソード 4020: -2084.00
エピソード 4030: -4015.20
エピソード 4040: -6532.20
エピソード 4050: -1776.90
エピソード 4060: -3085.60
エピソード 4070: -6392.60
エピソード 4080: -2386.50
エピソード 4090: -6309.90
エピソード 4100: -1604.60
エピソード 4110: -1203.80
エピソード 4120: -2795.80
エピソード 4130: -6451.20
エピソード 4140: -1954.40
エピソード 4150: -5808.20
エピソード 4160: -3549.50
エピソード 4170: -1517.60
エピソード 4180: -1605.40
エピソード 4190: -5745.00
エピソード 4200: -4924.60
エピソード 4210: -3839.60
エピソード 4220: -2512.70
エピソード 4230: -5627.80
エピソード 4240: -4447.70
エピソード 4250: -2977.30
エピソード 4260: -848.90
エピソード 4270: -5690.40
エピソード 4280: -1385.80
エピソード 4290: -1548.60
エピソード 4300: -2617.60
エピソード 4310: -5632.70
エピソード 4320: -6801.80
エピソード 4330: -6343.30
エピソード 4340: -4913.90
エピソード 4350: -3961.50
エピソード 4360: -2342.00
エピソード 4370: -4905.10
エピソード 4380: -4339.70
エピソード 4390: -1978.80
エピソード 4400: -1183.30
エピソード 4410: -2599.60
エピソード 4420: -5824.40
エピソード 4430: -5919.60
エピソード 4440: -6243.90
エピソード 4450: -4654.10
エピソード 4460: -3471.40
エピソード 4470: -3078.20
エピソード 4480: -2578.00
エピソード 4490: -1330.70
エピソード 4500: -6460.00
エピソード 4510: -784.70
エピソード 4520: -2504.00
エピソード 4530: -2512.00
エピソード 4540: -2769.60
エピソード 4550: -1803.00
エピソード 4560: -2119.90
エピソード 4570: -6228.10
エピソード 4580: -2718.70
エピソード 4590: -1683.90
エピソード 4600: -3894.50
エピソード 4610: -1684.10
エピソード 4620: -2721.70
エピソード 4630: -6019.30
エピソード 4640: -5773.30
エピソード 4650: -3234.90
エピソード 4660: -4796.80
エピソード 4670: -2175.40
エピソード 4680: -6756.00
エピソード 4690: -2273.30
エピソード 4700: -608.30
エピソード 4710: -1920.90
エピソード 4720: -5387.80
エピソード 4730: -2501.20
エピソード 4740: -1854.00
エピソード 4750: -360.70
エピソード 4760: -3227.80
エピソード 4770: -1926.20
エピソード 4780: -147.10
エピソード 4790: -5963.90
エピソード 4800: -782.00
エピソード 4810: -1618.10
エピソード 4820: -5695.40
エピソード 4830: -522.80
エピソード 4840: -6709.60
エピソード 4850: -5563.20
エピソード 4860: -2114.80
エピソード 4870: -2765.60
エピソード 4880: -6352.10
エピソード 4890: -5344.70
エピソード 4900: -6402.50
エピソード 4910: -2931.90
エピソード 4920: -5059.30
エピソード 4930: -2480.20
エピソード 4940: -4008.80
エピソード 4950: -2154.30
エピソード 4960: -6183.60
エピソード 4970: -6409.00
エピソード 4980: -613.70
エピソード 4990: -161.50
エピソード 5000: -2423.10
エピソード 5010: -6440.00
エピソード 5020: -1949.70
エピソード 5030: -990.60
エピソード 5040: -2544.70
エピソード 5050: -5718.60
エピソード 5060: -5422.40
エピソード 5070: -5303.00
エピソード 5080: -5395.70
エピソード 5090: -6293.90
エピソード 5100: -2616.50
エピソード 5110: -885.00
エピソード 5120: -4112.80
エピソード 5130: -1873.20
エピソード 5140: -5912.20
エピソード 5150: -6536.30
エピソード 5160: -2026.60
エピソード 5170: -1744.00
エピソード 5180: -6412.20
エピソード 5190: -2143.80
エピソード 5200: -563.20
エピソード 5210: -6241.70
エピソード 5220: -3377.80
エピソード 5230: -1545.20
エピソード 5240: -6397.10
エピソード 5250: -6588.80
エピソード 5260: -3495.40
